"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.926458329e-3,-1.409424841e-1,2.431039959e-1,1.235010102e-1,3.069476115e-1
1.495945833e-2,-1.407752037e-1,1.451413184e-1,1.928687692e-1,2.794316060e-1
2.499145833e-2,-8.401977271e-2,1.704006270e-2,2.669155598e-1,2.803455047e-1
3.502445833e-2,2.531318553e-2,-1.306880862e-1,3.564794958e-1,3.805230139e-1
4.505645833e-2,1.818066537e-1,-2.517050505e-1,4.156221747e-1,5.187975365e-1
5.508945833e-2,3.662236333e-1,-3.104543984e-1,4.150798321e-1,6.346597120e-1
6.512145833e-2,5.432255864e-1,-3.883806169e-1,3.033666313e-1,7.334608744e-1
7.515445833e-2,7.014756799e-1,-4.864560664e-1,1.957189739e-1,8.757930981e-1
8.518645833e-2,8.061474562e-1,-5.306006670e-1,1.176321656e-1,9.722387131e-1
9.521945833e-2,8.362228274e-1,-5.677858591e-1,5.522911623e-2,1.012274495e0
1.052524583e-1,8.560180664e-1,-6.044775844e-1,1.256971657e-1,1.055442967e0
1.152844583e-1,8.488147259e-1,-5.899966359e-1,3.065759838e-1,1.078225998e0
1.253174583e-1,7.557814717e-1,-6.520757079e-1,5.749296546e-1,1.151934230e0
1.353494583e-1,6.198175550e-1,-7.303313017e-1,7.777128816e-1,1.233853694e0
1.453824583e-1,4.924191535e-1,-8.245885968e-1,8.404604197e-1,1.276243195e0
1.554144583e-1,3.580154181e-1,-8.594131470e-1,8.792802691e-1,1.280585721e0
1.654474583e-1,2.105391473e-1,-7.980573773e-1,9.227545261e-1,1.238021900e0
1.754804583e-1,6.811589748e-2,-6.982446909e-1,9.402544498e-1,1.173142725e0
1.855124583e-1,-6.779292971e-2,-5.679418445e-1,8.707981110e-1,1.041846040e0
1.955454583e-1,-1.822776794e-1,-4.294455051e-1,7.612491846e-1,8.928319637e-1
2.055774583e-1,-2.820926905e-1,-2.947564125e-1,7.261503339e-1,8.329177247e-1
2.156104583e-1,-3.701493442e-1,-1.560244411e-1,7.544260621e-1,8.547004425e-1
2.256424583e-1,-4.374655485e-1,-7.016313728e-3,7.512603402e-1,8.693776128e-1
2.356754583e-1,-5.058428049e-1,8.994810283e-2,7.333784103e-1,8.954392761e-1
2.457074583e-1,-5.876524448e-1,1.415228844e-1,7.771812677e-1,9.845683550e-1
2.557404583e-1,-6.852769852e-1,1.276635081e-1,7.990525961e-1,1.060371430e0
2.657724583e-1,-7.925365567e-1,9.223575890e-2,7.692214847e-1,1.108297488e0
2.758054583e-1,-9.056439996e-1,5.611967295e-2,7.148808241e-1,1.155160190e0
2.858384583e-1,-1.019872785e0,7.661749423e-2,5.727287531e-1,1.172189815e0
2.958704583e-1,-1.128548861e0,9.791611135e-2,4.929151237e-1,1.235384723e0
3.059034583e-1,-1.264709115e0,2.064689249e-2,2.152670026e-1,1.283064816e0
3.159354583e-1,-1.426064730e0,-9.080777317e-2,7.894992083e-2,1.431132333e0
3.259684583e-1,-1.533553123e0,-1.686841995e-1,2.060820460e-1,1.556505494e0
3.360004583e-1,-1.569222689e0,-2.032487243e-1,2.124734968e-1,1.596532141e0
3.460334583e-1,-1.590077162e0,-2.472271025e-1,2.328307033e-1,1.625938731e0
3.560664583e-1,-1.635675073e0,-3.840177357e-1,2.934583724e-1,1.705585055e0
3.660984583e-1,-1.674380898e0,-6.098257899e-1,2.136032432e-1,1.794732635e0
3.761314583e-1,-1.700793505e0,-7.071375251e-1,1.601762176e-1,1.848891140e0
3.861634583e-1,-1.704191685e0,-6.903039217e-1,2.100399137e-1,1.850650039e0
3.961964583e-1,-1.684179664e0,-6.572731137e-1,1.952459216e-1,1.818403161e0
