"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.922458338e-3,3.302197158e-1,9.312820435e-2,1.418158263e-1,3.712541606e-1
1.595445834e-2,2.228099108e-1,1.481951773e-1,2.015438676e-1,3.350014888e-1
2.598745834e-2,5.012943596e-2,1.742119044e-1,2.244934887e-1,2.885482186e-1
3.601945833e-2,-7.141723484e-2,2.156842500e-1,2.182467878e-1,3.150425011e-1
4.605145834e-2,-1.375493705e-1,2.749344707e-1,1.321879178e-1,3.346377715e-1
5.608445834e-2,-1.615138203e-1,3.328539431e-1,2.079986967e-2,3.705551189e-1
6.611645834e-2,-1.620721519e-1,3.884081542e-1,-9.654694796e-2,4.317980892e-1
7.614945833e-2,-1.571250707e-1,4.386497438e-1,-2.159825265e-1,5.135662930e-1
8.618145833e-2,-1.430363357e-1,4.685339928e-1,-3.354222775e-1,5.937100302e-1
9.621445834e-2,-1.186404526e-1,4.714863896e-1,-4.446302652e-1,6.588406828e-1
1.062464583e-1,-8.186304569e-2,4.690575302e-1,-5.466731191e-1,7.249607051e-1
1.162794583e-1,-3.929135203e-2,4.667589366e-1,-6.251453161e-1,7.811621993e-1
1.263114583e-1,1.098203007e-3,4.566768110e-1,-6.694985628e-1,8.104216442e-1
1.363434583e-1,3.911482543e-2,4.627075195e-1,-6.895872951e-1,8.313596428e-1
1.463764583e-1,5.170011148e-2,5.288423896e-1,-7.022283673e-1,8.806087976e-1
1.564084583e-1,3.953132778e-2,6.200604439e-1,-6.913746595e-1,9.295356904e-1
1.664414583e-1,-2.163742855e-2,7.028203607e-1,-6.660078764e-1,9.684994213e-1
1.764734583e-1,-1.380604506e-1,7.450410128e-1,-6.252226233e-1,9.823696491e-1
1.865054583e-1,-2.733519673e-1,7.381110191e-1,-5.787263513e-1,9.769612911e-1
1.965384583e-1,-5.820608139e-1,5.070453286e-1,2.830989361e-1,8.222133324e-1
2.065704583e-1,-1.266253948e0,4.745608568e-1,2.064535618e0,2.467977793e0
2.166034583e-1,-1.119551420e0,7.351679206e-1,2.049267530e0,2.448134936e0
2.266354583e-1,-6.553907990e-1,1.037327886e0,1.925950408e0,2.283609252e0
2.366684583e-1,-2.849594057e-1,1.259045959e0,1.736976743e0,2.164136501e0
2.467004583e-1,-1.360426545e-1,1.325482726e0,1.502410412e0,2.008145689e0
2.567324583e-1,-8.642662317e-2,1.287058353e0,1.415340662e0,1.914987717e0
2.667654583e-1,-5.318922922e-3,1.104924798e0,1.209766150e0,1.638420348e0
2.767974583e-1,9.426758438e-2,9.996553063e-1,8.949050307e-1,1.345010083e0
2.868304583e-1,2.684467137e-1,9.870004058e-1,4.822137356e-1,1.130824268e0
2.968624583e-1,6.538031697e-1,7.310360074e-1,-7.999443412e-1,1.265615731e0
