"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.041858333e-2,-4.586659968e-1,-3.738447130e-1,7.327791303e-2,5.962415774e-1
2.045158333e-2,-6.243544817e-1,-4.801521897e-1,7.693621516e-2,7.913809609e-1
3.048458334e-2,-8.653950691e-1,-6.242132783e-1,1.217351109e-1,1.073950781e0
4.051758334e-2,-1.196087360e0,-6.934893727e-1,1.910889745e-1,1.395731880e0
5.054958333e-2,-1.507259369e0,-6.867803335e-1,3.060901165e-1,1.684395794e0
6.058258333e-2,-1.699271202e0,-6.660885215e-1,5.117375255e-1,1.895539984e0
7.061558333e-2,-1.746580482e0,-7.772640586e-1,7.496094704e-1,2.053435451e0
8.064858334e-2,-1.732854247e0,-9.270041585e-1,1.006462574e0,2.207960023e0
9.068158334e-2,-1.702511072e0,-9.881367683e-1,1.218038678e0,2.314859919e0
1.007145833e-1,-1.713115692e0,-1.148385406e0,1.251973748e0,2.412673347e0
1.107475833e-1,-1.820396662e0,-1.466622949e0,1.253455043e0,2.652541503e0
1.207805833e-1,-1.926391006e0,-1.779489636e0,1.373425603e0,2.960382333e0
1.308135833e-1,-2.010458708e0,-1.914465308e0,1.637284636e0,3.223014523e0
1.408465833e-1,-2.092382193e0,-1.918302059e0,1.887659431e0,3.408988729e0
1.508795833e-1,-2.184947491e0,-1.994595528e0,2.106158972e0,3.631571625e0
1.609125833e-1,-2.281520367e0,-2.161512613e0,2.247439623e0,3.863736122e0
1.709455833e-1,-2.318408489e0,-2.283503294e0,2.159370661e0,3.905417630e0
1.809785833e-1,-2.267054081e0,-2.216686964e0,1.887536764e0,3.689990561e0
1.910115833e-1,-2.186646938e0,-2.034684658e0,1.555736780e0,3.367741590e0
2.010445833e-1,-2.111500978e0,-1.716195345e0,1.245210648e0,2.992375712e0
2.110771667e-1,-2.049054384e0,-1.304714084e0,9.979432821e-1,2.626174690e0
2.211101667e-1,-1.960376382e0,-9.277775288e-1,8.207837343e-1,2.318950763e0
2.311431667e-1,-1.788612127e0,-6.496830583e-1,6.775618792e-1,2.019978098e0
2.411761667e-1,-1.556649804e0,-4.258671403e-1,5.244663954e-1,1.696934422e0
2.512091667e-1,-1.250732780e0,-1.443555653e-1,3.558821976e-1,1.308366598e0
2.612421667e-1,-9.155439734e-1,1.032776684e-1,1.798648983e-1,9.387430030e-1
2.712751667e-1,-6.844494939e-1,4.161799252e-1,1.089933962e-1,8.084283519e-1
2.813081667e-1,-5.027047992e-1,8.572947383e-1,-2.046938287e-3,9.938161668e-1
2.913411667e-1,-3.860274851e-1,1.246228814e0,-1.056308523e-1,1.308916099e0
3.013741667e-1,-3.309621811e-1,1.469332099e0,-1.586039662e-1,1.514472846e0
3.114071667e-1,-3.507593274e-1,1.463253140e0,-1.902843863e-1,1.516690478e0
3.214401667e-1,-5.984317660e-1,1.040761828e0,-2.179364562e-1,1.220164768e0
3.314731667e-1,-7.977776527e-1,5.876881480e-1,-2.153851390e-1,1.014010503e0
3.415061667e-1,-8.370183110e-1,1.903547943e-1,-2.227618992e-1,8.868243707e-1
3.515391667e-1,-7.966546416e-1,-1.168509722e-1,-2.210532278e-1,8.349714350e-1
3.615721667e-1,-7.020222545e-1,-2.428006679e-1,-2.421223074e-1,7.812877971e-1
3.716051667e-1,-6.011563540e-1,-1.880077273e-1,-3.266305327e-1,7.095233416e-1
3.816381667e-1,-5.142194629e-1,-3.260007873e-2,-3.520051837e-1,6.240128769e-1
3.916711667e-1,-5.067319870e-1,1.409493387e-1,-3.099972606e-1,6.105262683e-1
4.017041667e-1,-5.591548085e-1,1.567037404e-1,-2.810492814e-1,6.451347616e-1
4.117371667e-1,-3.526360393e-1,-2.013585418e-1,-3.509774804e-1,5.367332953e-1
4.217701667e-1,-1.112532169e-1,-2.612116635e-1,-3.667153716e-1,4.637768593e-1
4.318031667e-1,1.661685556e-1,-1.323280036e-1,-3.304668367e-1,3.928498690e-1
4.418361667e-1,4.657851458e-1,1.157242879e-1,-3.277703822e-1,5.811895872e-1
