"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.176375000e-2,4.313136637e-1,-1.875909269e-1,6.492102891e-2,4.748016137e-1
2.179575000e-2,5.213261247e-1,-2.764236033e-1,7.316165417e-2,5.945952946e-1
3.182875000e-2,5.654674768e-1,-3.515204191e-1,9.150813520e-2,6.720816998e-1
4.186075000e-2,4.968698025e-1,-3.789057136e-1,8.180890232e-2,6.301919048e-1
5.189375000e-2,3.975267112e-1,-3.455703259e-1,5.067897588e-2,5.291641474e-1
6.192675000e-2,3.270051479e-1,-2.868667841e-1,3.033322468e-2,4.360562155e-1
7.195875000e-2,3.035055399e-1,-2.436455786e-1,2.549371496e-2,3.900368063e-1
8.199175000e-2,2.937269211e-1,-2.090111673e-1,4.904671386e-2,3.638224187e-1
9.202475000e-2,2.875372469e-1,-1.717656106e-1,6.337107718e-2,3.408767912e-1
1.020567500e-1,2.558435202e-1,-1.099882573e-1,7.865016907e-2,2.893772151e-1
1.120897500e-1,1.931468844e-1,-4.134701937e-2,1.012809053e-1,2.219754868e-1
1.221217500e-1,1.244916469e-1,1.254502917e-3,1.076908633e-1,1.646118646e-1
1.321547500e-1,5.260300264e-2,9.081751108e-3,1.150379777e-1,1.268199133e-1
1.421877500e-1,-1.106864959e-2,-9.607514367e-3,1.262205839e-1,1.270687024e-1
1.522197500e-1,-6.835971028e-2,-3.528976068e-2,1.501360238e-1,1.686986746e-1
1.622527500e-1,-1.202234402e-1,-5.541153997e-2,1.713885814e-1,2.165598305e-1
1.722857500e-1,-1.739944071e-1,-7.597522438e-2,1.984300613e-1,2.746284356e-1
1.823177500e-1,-2.177919596e-1,-1.017511636e-1,2.317483425e-1,3.339070698e-1
1.923507500e-1,-2.516062260e-1,-1.224430278e-1,2.435176820e-1,3.709431889e-1
2.023827500e-1,-2.742582858e-1,-1.339369714e-1,2.571080625e-1,3.990755260e-1
2.124157500e-1,-2.817899883e-1,-1.799210459e-1,2.870542407e-1,4.406555541e-1
2.224487500e-1,-2.676264942e-1,-2.372591645e-1,2.809369564e-1,4.547982245e-1
2.324807500e-1,-2.580513358e-1,-2.898450196e-1,1.751069129e-1,4.257499950e-1
2.425137500e-1,-2.399618179e-1,-3.469474316e-1,1.039941236e-1,4.344755138e-1
2.525467500e-1,-2.214214206e-1,-3.694790602e-1,7.136839442e-3,4.308052412e-1
2.625787500e-1,-2.228621840e-1,-3.482917547e-1,-6.188164279e-2,4.180957273e-1
2.726117500e-1,-2.677041590e-1,-2.910647094e-1,-1.527484357e-1,4.239295536e-1
2.826437500e-1,-3.463163972e-1,-2.258694321e-1,-1.748540103e-1,4.489164424e-1
2.926767500e-1,-4.036929309e-1,-2.290154248e-1,-1.246446148e-1,4.805749965e-1
3.027097500e-1,-4.014428258e-1,-2.360648215e-1,2.296507172e-2,4.662728137e-1
3.127417500e-1,-3.168066442e-1,-2.832011580e-1,1.627618670e-1,4.550393072e-1
3.227747500e-1,-1.143350378e-1,-3.805239797e-1,2.274598926e-1,4.578307577e-1
3.328077500e-1,1.850029677e-1,-5.352785587e-1,2.252164185e-1,6.094847567e-1
3.428397500e-1,5.507943034e-1,-5.326979756e-1,3.337314725e-1,8.357740087e-1
3.528727500e-1,9.831289053e-1,-5.193842649e-1,3.126985729e-1,1.155025046e0
3.629047500e-1,1.409397125e0,-3.646388948e-1,2.407221198e-1,1.475570710e0
3.729377500e-1,1.728117108e0,-1.458635479e-1,1.618457288e-1,1.741797622e0
3.829707500e-1,1.941933870e0,2.212359384e-2,2.968475968e-2,1.942286744e0
3.930027500e-1,2.139653683e0,1.239525527e-1,-6.012713164e-2,2.144084278e0
4.030357500e-1,2.333093166e0,2.051877528e-1,-1.424742043e-1,2.346428059e0
