Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.008418125,0.196754083,-0.782161474,0.111310847,0.81417372
0.018451125,0.007125563,-0.830888033,0.124436766,0.840184626
0.028483125,-0.146511003,-0.900901079,0.146152452,0.92436398
0.038516125,-0.241900906,-0.95981127,0.131719977,0.998550888
0.048549125,-0.299330056,-1.029138684,0.083025403,1.074996805
0.058581125,-0.390693009,-1.060637236,0.017609913,1.130443489
0.068614125,-0.521315217,-1.035112977,-0.056550328,1.160356139
0.078647125,-0.673367381,-1.038979053,-0.16136995,1.248575734
0.088679125,-0.847037852,-1.040969372,-0.270261556,1.368989286
0.098712125,-1.078111887,-0.843167424,-0.329011708,1.407659494
0.108745125,-1.429092884,-0.480841488,-0.405062795,1.561278603
0.118777125,-1.823148608,-0.446439296,-0.423378408,1.924169475
0.128810125,-2.183180571,-0.593568027,-0.382452786,2.294530571
0.138842125,-2.477257729,-0.815285504,-0.286907881,2.623702048
0.148875125,-2.651659012,-1.119218111,-0.122958377,2.880809514
0.158908125,-2.542033911,-1.167467594,0.05191756,2.797787058
0.168940125,-2.116755486,-1.037288904,0.20667997,2.366292177
0.178973125,-1.5227108,-0.808068097,0.383421719,1.765965584
0.189006125,-0.915928423,-0.574377954,0.568307996,1.221396287
0.199038125,-0.16595535,-1.091938019,0.587182343,1.250860871
0.209071125,0.550696492,-1.560968637,0.554270685,1.745596089
0.219104125,1.116003871,-1.647277236,0.421184808,2.033810113
0.229136125,1.507580161,-1.304060221,0.283253551,2.013356296
0.239169125,1.745522141,-0.680792034,0.24104993,1.889028959
0.249202125,1.869482994,-0.193549946,0.240797728,1.894838197
0.259234125,1.888558149,0.001032863,0.154616505,1.894877097
0.269267125,1.72416389,0.044014409,0.028562695,1.724962091
0.279300125,1.405766487,-0.056646954,-0.095581889,1.410150414
0.289332125,0.98057586,-0.279564291,-0.24446404,1.0485456
0.299365125,0.515587628,-0.520283401,-0.409080684,0.838971052
0.309397125,0.088328026,-0.803294361,-0.571646392,0.989880431
0.319430125,-0.244882688,-1.109345317,-0.733259261,1.352140417
0.329463125,-0.499361336,-1.125950456,-0.805559278,1.471751311
0.339495125,-0.75533402,-0.874743521,-0.738765121,1.371670373
0.349528125,-0.955155611,-0.319540769,-0.517508328,1.132361874
0.359561125,-1.036653638,0.098162703,-0.209436834,1.062144279
0.369593125,-0.954793334,0.17948617,0.057631884,0.973225066
0.379626125,-0.743108213,0.069341019,0.20095709,0.772917683
0.389659125,-0.484458148,-0.088896595,0.230739504,0.543914535
0.399691125,-0.251067787,-0.264024973,0.19208239,0.411873603
0.409724125,-0.138043731,-0.309402317,0.204931051,0.395957827
0.419757125,-0.18725282,-0.187136859,0.282713741,0.387312383
0.429789125,-0.409158438,-0.070161179,0.437079608,0.602803287
0.439822125,-0.724617064,0.124724954,0.750703096,1.050800334
0.449855125,-1.045154691,0.340126961,1.089839578,1.54783235
0.459887125,-1.322360992,0.432710409,1.29995048,1.904139739
0.469920125,-1.530459642,0.406017601,1.345282793,2.077725392
0.479952125,-1.661628008,0.336904556,1.217726707,2.087431592
0.489985125,-1.718277097,0.215401515,0.972973108,1.986341024
0.500018125,-1.68210876,0.164407313,0.711354554,1.833724337
0.510050125,-1.557486415,0.288936585,0.486017019,1.656943217
0.520083125,-1.350915313,0.476700902,0.273796111,1.458485599
0.530116125,-1.096315145,0.721126497,0.091656432,1.31542055
0.540148125,-0.731985092,0.886133313,-0.176581949,1.162848059
0.550181083,-0.230372459,1.198001981,-0.420854002,1.290503122
0.560214083,0.338256627,1.368003011,-0.564930201,1.5182213
0.570246083,0.876407564,1.278844357,-0.647527635,1.680126526
0.580279083,1.262583256,0.924790919,-0.69864279,1.713900951
0.590311083,1.459697723,0.432723701,-0.645383298,1.653628388
0.600344083,1.477549791,0.04555203,-0.484929681,1.555758712
0.610377083,1.299014211,-0.639694273,-0.470437258,1.522484121
0.620409083,1.099890471,-1.004608631,-0.467969567,1.561407399
0.630442083,0.900172949,-0.685446441,-0.359410346,1.18714951
0.640475083,0.680710673,-0.635111928,-0.32062006,0.984647858
0.650507083,0.466345757,-1.021571755,-0.366148472,1.181165492
0.660540083,0.212727845,-1.270868182,-0.463100851,1.369241202
