"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.516858333e-2,-2.299384624e-1,-2.004503608e-1,3.547121957e-2,3.070997412e-1
2.520158333e-2,-2.768841386e-1,-3.779434860e-1,8.646953851e-2,4.764274193e-1
3.523458334e-2,-3.159314096e-1,-5.618957281e-1,1.155789569e-1,6.549030158e-1
4.526758334e-2,-3.336817026e-1,-6.508771181e-1,1.608943194e-1,7.489135354e-1
5.530058334e-2,-3.465056121e-1,-5.750020742e-1,2.557228208e-1,7.183924315e-1
6.533358333e-2,-3.212873340e-1,-7.064445019e-1,2.995862365e-1,8.318901961e-1
7.536658333e-2,-1.882270128e-1,-6.633513570e-1,4.241353571e-1,8.095401363e-1
8.539958334e-2,4.710831493e-2,-3.739790618e-1,6.462500095e-1,7.481434400e-1
9.543258334e-2,1.774697751e-1,-4.033617079e-1,7.635095119e-1,8.815571243e-1
1.054665833e-1,1.158560738e-1,-3.133692592e-2,8.887453079e-1,8.968126087e-1
1.154995833e-1,6.278087199e-2,6.611997485e-1,9.552106261e-1,1.163423348e0
1.255325833e-1,-7.411708683e-2,1.297318339e0,1.022212386e0,1.653313757e0
1.355655833e-1,-2.535755336e-1,1.695802331e0,1.102938652e0,2.038754465e0
1.455985833e-1,-3.931120634e-1,1.834205031e0,1.171957374e0,2.211861044e0
1.556315833e-1,-4.959018230e-1,1.570603728e0,1.209378242e0,2.043357635e0
1.656645833e-1,-5.449884534e-1,9.542425275e-1,1.185819149e0,1.616712179e0
1.756975833e-1,-5.458278656e-1,1.763840765e-1,1.068161845e0,1.212439330e0
1.857305833e-1,-4.973512888e-1,-5.229222178e-1,8.878637552e-1,1.144162575e0
1.957635833e-1,-4.053252041e-1,-1.091321826e0,6.876923442e-1,1.352106730e0
2.057965833e-1,-3.368154764e-1,-1.448728681e0,5.124072433e-1,1.573156266e0
2.158295833e-1,-3.131921589e-1,-1.680395722e0,3.927035332e-1,1.753862930e0
2.258635833e-1,-3.461929560e-1,-1.864043355e0,3.015495241e-1,1.919749803e0
2.358965833e-1,-4.173009396e-1,-2.051768064e0,1.699920446e-1,2.100664076e0
2.459295833e-1,-4.915310442e-1,-2.138097525e0,3.828306869e-2,2.194203588e0
2.559625833e-1,-5.087140203e-1,-2.102018356e0,-5.252859369e-2,2.163337786e0
2.659955833e-1,-5.340243578e-1,-2.232455015e0,-1.513695717e-1,2.300423908e0
2.760285833e-1,-5.550385714e-1,-2.167749166e0,-2.252153009e-1,2.248983369e0
2.860615833e-1,-5.722218752e-1,-1.867398500e0,-2.480116636e-1,1.968787652e0
2.960945833e-1,-6.849260330e-1,-1.661407828e0,-2.975198328e-1,1.821515219e0
3.061275833e-1,-7.220844626e-1,-1.286177874e0,-2.840489745e-1,1.502112950e0
3.161605833e-1,-7.022795677e-1,-8.930004239e-1,-2.280429602e-1,1.158727725e0
3.261935833e-1,-6.363062859e-1,-6.276031733e-1,-1.677666008e-1,9.093498034e-1
3.362275833e-1,-5.085709691e-1,-5.048719049e-1,-1.151966006e-1,7.258170070e-1
3.462602083e-1,-3.077028990e-1,-3.636614680e-1,-8.438415825e-2,4.837886145e-1
3.562932083e-1,-8.643041551e-2,-2.501160204e-1,-7.379090786e-2,2.747241134e-1
3.663262083e-1,1.258658469e-1,-7.366570830e-2,-7.467193902e-2,1.638436647e-1
3.763592083e-1,3.185966611e-1,3.811353445e-1,-6.712959707e-2,5.012727462e-1
3.863922083e-1,4.670803845e-1,8.910243511e-1,1.704581082e-2,1.006170482e0
3.964252083e-1,5.376126766e-1,9.599323273e-1,2.630619705e-1,1.131237846e0
4.064582083e-1,4.945369065e-1,7.961189747e-1,6.577308774e-1,1.144981258e0
