"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.033770833e-2,-9.449443817e-1,-3.785609007e-1,7.684309781e-2,1.020849206e0
2.037070833e-2,-1.186678410e0,-1.381698698e-1,-3.288153559e-2,1.195147588e0
3.040370833e-2,-1.376970768e0,-3.365912735e-1,-1.898008734e-1,1.430163121e0
4.043670833e-2,-1.473849654e0,-4.812123477e-1,-3.125571311e-1,1.581609967e0
5.046970833e-2,-1.464068413e0,-4.611079097e-1,-3.129464388e-1,1.566541508e0
6.050270833e-2,-1.434881210e0,-6.050632000e-1,-3.517356515e-1,1.596465951e0
7.053570833e-2,-1.449539781e0,-8.339825273e-1,-3.749878407e-1,1.713857728e0
8.056970833e-2,-1.577126741e0,-1.145962477e0,-1.991577148e-1,1.959648579e0
9.060270833e-2,-1.568807721e0,-1.303468108e0,-9.189397842e-2,2.041722625e0
1.006357083e-1,-1.368445039e0,-1.318965554e0,-2.755999565e-2,1.900808120e0
1.106687083e-1,-1.091054201e0,-1.196646094e0,1.139533520e-1,1.623375037e0
1.207017083e-1,-8.071934581e-1,-1.115836501e0,3.527001441e-1,1.421636299e0
1.307347083e-1,-5.745272040e-1,-1.116452694e0,6.317108274e-1,1.405562768e0
1.407677083e-1,-3.444681764e-1,-1.047543406e0,8.070650697e-1,1.366513644e0
1.508007083e-1,-1.424822062e-1,-8.488468528e-1,8.899002075e-1,1.238048682e0
1.608337083e-1,-9.291400202e-3,-6.322527528e-1,9.174170494e-1,1.114218971e0
1.708667083e-1,2.642532066e-2,-4.382131100e-1,8.987503052e-1,1.000240540e0
1.809007083e-1,-2.480191365e-2,-2.310447246e-1,8.190922141e-1,8.514157944e-1
1.909337083e-1,-1.538992673e-1,-5.321010947e-2,6.674260497e-1,6.870035168e-1
2.009667083e-1,-3.516072929e-1,3.068079799e-2,4.369489253e-1,5.616879588e-1
2.109997083e-1,-6.011546254e-1,6.964913756e-2,1.453765631e-1,6.223923450e-1
2.210327083e-1,-8.448218703e-1,1.308059841e-1,-1.771777868e-1,8.730556490e-1
2.310657083e-1,-1.026905417e0,2.492740601e-1,-4.697115421e-1,1.156417410e0
2.410987083e-1,-1.154843211e0,4.756754935e-1,-7.030116320e-1,1.433232491e0
2.511317083e-1,-1.205705881e0,6.644704938e-1,-8.467257619e-1,1.616227776e0
2.611647083e-1,-1.179973602e0,7.082024813e-1,-8.566702604e-1,1.621040527e0
2.711977083e-1,-1.105443358e0,6.602701545e-1,-7.432842255e-1,1.486752547e0
2.812317083e-1,-9.913004637e-1,6.115548015e-1,-5.442920327e-1,1.285663137e0
2.912647083e-1,-8.898062110e-1,2.722837925e-1,-3.312718868e-1,9.877421829e-1
3.012977083e-1,-8.609271646e-1,-8.274416327e-1,-1.859778017e-1,1.208487890e0
3.113307083e-1,-6.825599074e-1,-9.621019959e-1,-8.902788162e-2,1.182985309e0
3.213637083e-1,-5.559290051e-1,-7.785921097e-1,-7.788814604e-2,9.598589976e-1
3.313967083e-1,-5.167784095e-1,-4.710615575e-1,-1.077262163e-1,7.075053732e-1
3.414297083e-1,-4.633561969e-1,-1.368611902e-1,-1.274378747e-1,4.996702537e-1
3.514627083e-1,-3.470670283e-1,5.757308751e-2,-1.560643762e-1,3.848717605e-1
3.614957083e-1,-1.628314108e-1,5.875286832e-2,-1.858835220e-1,2.540052197e-1
3.715287083e-1,6.496755034e-2,-3.207581118e-2,-2.006934583e-1,2.133717518e-1
3.815627083e-1,2.733641565e-1,1.671560705e-1,-1.979083270e-1,3.766122938e-1
3.915957083e-1,4.215699136e-1,4.409864247e-1,-9.693818539e-2,6.177274728e-1
4.016287083e-1,5.640151501e-1,5.214360356e-1,-5.485766567e-3,7.681397805e-1
4.116617083e-1,6.696734428e-1,3.976445496e-1,-1.252246648e-2,7.789355044e-1
4.216947083e-1,6.783963442e-1,2.632372081e-1,-9.648873657e-2,7.340473444e-1
4.317277083e-1,5.810946226e-1,1.817713380e-1,-1.977696717e-1,6.401754625e-1
4.417607083e-1,4.006982744e-1,4.690033384e-3,-1.535353661e-1,4.291319286e-1
4.517937083e-1,2.164430171e-1,-5.404083803e-2,-2.682130598e-2,2.246939570e-1
4.618267083e-1,-1.317020413e-2,-3.239786252e-2,7.817222178e-2,8.563861297e-2
