"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651545418692273e9,"2022-05-03 12:36:58.692 UTC+10:00"
"PAUSE",8.800115874997573e0,1.651545427492204e9,"2022-05-03 12:37:07.492 UTC+10:00"
