"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.605041661e-3,-5.584022403e-1,-5.327046514e-1,1.102014780e-1,7.795714677e-1
1.963804167e-2,-7.456040978e-1,-7.168608904e-1,1.137376279e-1,1.040553341e0
2.967104167e-2,-9.557594061e-1,-8.644136190e-1,1.290221959e-1,1.295119174e0
3.970404166e-2,-1.210022807e0,-1.015960336e0,1.805602163e-1,1.590261799e0
4.973704166e-2,-1.527810812e0,-1.153631926e0,2.706097662e-1,1.933468940e0
5.977004166e-2,-1.796983719e0,-1.289353013e0,3.845704198e-1,2.244877744e0
6.980304167e-2,-1.953447700e0,-1.293054223e0,4.322474003e-1,2.382180714e0
7.983604167e-2,-2.010094166e0,-1.560171366e0,6.434898973e-1,2.624631878e0
8.986904167e-2,-2.056581497e0,-1.580360770e0,8.533897400e-1,2.730447155e0
9.990204166e-2,-2.060576439e0,-1.490347624e0,9.918615818e-1,2.729633803e0
1.099350417e-1,-2.061712027e0,-1.346718907e0,1.033496261e0,2.670659622e0
1.199680417e-1,-2.114579439e0,-1.210504174e0,9.740358591e-1,2.624025994e0
1.300010417e-1,-2.127867699e0,-1.242647886e0,8.660039306e-1,2.611887731e0
1.400340417e-1,-2.095332384e0,-1.533528805e0,7.128559351e-1,2.692636622e0
1.500670417e-1,-2.022421122e0,-1.900198579e0,5.284647942e-1,2.824927764e0
1.601000417e-1,-1.844907522e0,-2.062592983e0,3.472169936e-1,2.789002191e0
1.701330417e-1,-1.596746087e0,-1.920443416e0,2.625626326e-1,2.511302474e0
1.801660417e-1,-1.385443687e0,-1.509468675e0,2.750187814e-1,2.067265155e0
1.901990417e-1,-1.241233587e0,-1.035444379e0,3.364437819e-1,1.651060356e0
2.002320417e-1,-1.126252055e0,-6.060272455e-1,3.913709521e-1,1.337491658e0
2.102650417e-1,-1.015687108e0,-2.746163309e-1,4.066662490e-1,1.128012353e0
2.202980417e-1,-8.065301180e-1,-5.242587999e-2,3.714531362e-1,8.895036461e-1
2.303310417e-1,-5.383549333e-1,-1.559604146e-2,2.653854489e-1,6.004154455e-1
2.403640417e-1,-2.562577128e-1,-1.925111562e-1,1.376604885e-1,3.488251292e-1
2.503970417e-1,-2.551463246e-2,-5.337815285e-1,2.272152109e-3,5.343958077e-1
2.604300417e-1,1.225717738e-1,-8.074088097e-1,-1.542040110e-1,8.310906705e-1
2.704630417e-1,1.322229803e-1,-9.517648816e-1,-2.280758619e-1,9.876020986e-1
2.804960417e-1,8.365491033e-2,-1.062590837e0,-3.170768321e-1,1.112040984e0
2.905290417e-1,-6.368889008e-3,-1.157364368e0,-4.189963043e-1,1.230890225e0
3.005620417e-1,-2.229374200e-1,-9.680641890e-1,-4.041989744e-1,1.072485980e0
3.105950417e-1,-3.792140260e-2,-7.234859467e-1,-2.344251424e-1,7.614624713e-1
3.206280417e-1,2.290807366e-1,-4.038912058e-1,-1.309355050e-1,4.824419100e-1
3.306610417e-1,4.380238354e-1,-1.109622419e-1,-1.766018420e-1,4.851450403e-1
3.406940417e-1,8.636547923e-1,-5.332197547e-1,-2.675296068e-1,1.049664231e0
3.507270417e-1,1.142887712e0,-6.632100344e-1,-1.732089520e-1,1.332681962e0
3.607600417e-1,1.373362422e0,-6.322521567e-1,-3.922451288e-2,1.512417169e0
3.707930417e-1,1.563059807e0,-6.880879998e-1,3.179036453e-2,1.708107632e0
3.808260417e-1,1.838658452e0,-8.406373262e-1,6.136132404e-3,2.021725419e0
3.908590417e-1,2.021483898e0,-9.064467549e-1,-8.697318286e-2,2.217116868e0
4.008920417e-1,1.994757414e0,-1.028082728e0,-3.534690738e-1,2.271772793e0
4.109250417e-1,1.831236720e0,-1.237074494e0,-6.329541802e-1,2.298784945e0
4.209580417e-1,1.561343789e0,-1.236442804e0,-7.739371657e-1,2.136718038e0
4.309910417e-1,1.153634548e0,-1.083955169e0,-8.446767330e-1,1.794243646e0
4.410240417e-1,6.523379087e-1,-9.982264042e-1,-8.596117496e-1,1.470011245e0
4.510570417e-1,1.003554463e-1,-9.272117019e-1,-8.035562634e-1,1.231054598e0
4.610900417e-1,-4.539034963e-1,-7.893062830e-1,-6.965491176e-1,1.146391497e0
4.711230417e-1,-9.160165191e-1,-5.443297625e-1,-5.861994028e-1,1.216145918e0
4.811560417e-1,-1.225904465e0,-1.712057143e-1,-4.868170917e-1,1.330091739e0
4.911890417e-1,-1.350918293e0,2.052907944e-1,-3.694646358e-1,1.415495907e0
5.012220417e-1,-1.273734570e0,6.115429401e-1,-1.520790458e-1,1.421095548e0
5.112550417e-1,-1.125067949e0,1.299382329e0,2.139451057e-1,1.732034883e0
5.212880417e-1,-9.169240594e-1,1.660600781e0,6.444575787e-1,2.003414649e0
5.313220417e-1,-6.124748588e-1,1.736436963e0,1.010560036e0,2.100373863e0
5.413550417e-1,-3.575751781e-1,1.722939849e0,1.341354728e0,2.212603497e0
5.513880417e-1,-1.024335772e-1,2.030413389e0,1.595107794e0,2.584074311e0
5.614210417e-1,1.945767850e-1,2.108812332e0,1.589674711e0,2.648021009e0
5.714540417e-1,5.567433834e-1,1.969358206e0,1.498830199e0,2.536696061e0
5.814870417e-1,1.011637092e0,1.555223703e0,1.406590104e0,2.328223807e0
5.915200417e-1,1.450970888e0,8.800334930e-1,1.333602309e0,2.158302710e0
6.015530417e-1,1.766536832e0,-1.630984396e-1,1.228984237e0,2.158160266e0
6.115860417e-1,1.859990835e0,-1.060578942e0,9.832331538e-1,2.356085957e0
6.216190417e-1,1.778894901e0,-1.732307434e0,6.012918949e-1,2.554781411e0
6.316520417e-1,1.580081582e0,-2.028817415e0,2.257755250e-1,2.581420636e0
6.416850417e-1,1.302176356e0,-1.942645073e0,-1.674924046e-2,2.338763280e0
6.517180417e-1,9.806312323e-1,-1.654589176e0,-1.640394777e-1,1.930339842e0
6.617510417e-1,5.845826864e-1,-1.497372150e0,-3.153408468e-1,1.638078180e0
6.717840417e-1,2.173672430e-2,-1.537069201e0,-3.929477334e-1,1.586651233e0
6.818170417e-1,-6.647628546e-1,-1.504941344e0,-3.198961616e-1,1.676034503e0
6.918500417e-1,-1.393620014e0,-1.355502486e0,-1.093893349e-1,1.947185086e0
7.018830417e-1,-2.044707775e0,-1.016045928e0,1.359405220e-1,2.287282020e0
7.119160417e-1,-2.525718451e0,-6.498644948e-1,3.268237710e-1,2.628381884e0
7.219490417e-1,-2.735773325e0,-3.669127226e-1,4.618726671e-1,2.798643777e0
7.319820417e-1,-2.673865795e0,-2.353519350e-1,4.563461840e-1,2.722719351e0
7.420150417e-1,-2.400823355e0,-1.696573496e-1,3.196352124e-1,2.427942146e0
7.520480417e-1,-1.978859544e0,-1.426438689e-1,9.318536520e-2,1.986181230e0
7.620810417e-1,-1.477303982e0,-1.072171703e-1,-1.647050232e-1,1.490318865e0
7.721140417e-1,-1.028657436e0,-7.638313621e-2,-3.853166997e-1,1.101108289e0
7.821476667e-1,-7.257981300e-1,-2.796100825e-2,-4.588716030e-1,8.591436967e-1
7.921806667e-1,-4.932014346e-1,-4.787356034e-2,-4.169479609e-1,6.475995174e-1
