"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.388441666e-2,3.729243763e-3,1.043295562e-1,-4.433766007e-2,1.134213016e-1
2.391741666e-2,-8.535262197e-2,2.729282379e-1,-2.957527898e-2,2.874884176e-1
3.394941666e-2,-2.114522457e-1,4.256794453e-1,-2.150590159e-2,4.757914944e-1
4.398241667e-2,-2.397956699e-1,4.207268357e-1,-8.351153880e-2,4.914134824e-1
5.401541667e-2,-1.608819366e-1,3.695009053e-1,-1.571380943e-1,4.325578542e-1
6.404841667e-2,-3.965231031e-2,3.067182302e-1,-2.081328034e-1,3.727836401e-1
7.408141666e-2,1.218532324e-1,2.620716691e-1,-2.183359116e-1,3.622158753e-1
8.411441666e-2,3.278274238e-1,2.350184917e-1,-2.440252900e-1,4.714370090e-1
9.414741667e-2,4.528756142e-1,1.618406773e-1,-2.772716880e-1,5.551290982e-1
1.041804167e-1,5.128186345e-1,9.236097336e-2,-2.836447656e-1,5.932687876e-1
1.142134167e-1,5.698369145e-1,8.109766990e-2,-2.392123342e-1,6.233084967e-1
1.242454167e-1,6.190016866e-1,1.386248022e-1,-1.771920919e-1,6.586174620e-1
1.342784167e-1,6.531498432e-1,2.629552782e-1,-1.189586073e-1,7.140737681e-1
1.443114167e-1,6.477130651e-1,3.866103292e-1,-7.974705845e-2,7.585244589e-1
1.543444167e-1,5.823412538e-1,4.978798628e-1,-9.759476036e-2,7.723538249e-1
1.643774167e-1,5.212503672e-1,5.653201938e-1,-1.166980788e-1,7.777578726e-1
1.744104167e-1,4.614291191e-1,5.888013244e-1,-1.530912369e-1,7.635710565e-1
1.844434167e-1,4.161977470e-1,5.590215921e-1,-1.932820529e-1,7.232452261e-1
1.944764167e-1,3.699237108e-1,4.671536684e-1,-2.223355472e-1,6.360103751e-1
2.045094167e-1,3.103410304e-1,3.439732492e-1,-2.420933247e-1,5.227220381e-1
2.145414167e-1,2.332395762e-1,2.087879926e-1,-2.754147947e-1,4.169489596e-1
2.245744167e-1,1.450443864e-1,4.216057807e-2,-3.082486093e-1,3.432675247e-1
2.346074167e-1,3.153141588e-2,-5.369617417e-2,-2.311042994e-1,2.393464153e-1
2.446404167e-1,-1.688097715e-1,9.901564568e-2,1.217830405e-1,2.305036789e-1
2.546734167e-1,-4.489511549e-1,2.046267539e-1,5.493540764e-1,7.383895647e-1
2.647064167e-1,-7.329595089e-1,4.221832454e-1,8.999691010e-1,1.235075996e0
2.747394167e-1,-8.807436228e-1,1.208042741e0,9.782359600e-1,1.786623124e0
2.847724167e-1,-8.507173061e-1,1.458076358e0,8.642150164e-1,1.896463602e0
2.948054167e-1,-6.216610074e-1,8.251585960e-1,5.706912875e-1,1.180270165e0
3.048384167e-1,-3.503974378e-1,5.965318680e-1,4.728445113e-1,8.379800509e-1
3.148704167e-1,-1.218947768e-1,5.351691842e-1,4.975117743e-1,7.407984597e-1
3.249034167e-1,1.958529204e-1,3.264235556e-1,2.723422945e-1,4.680609249e-1
3.349364167e-1,5.602151752e-1,1.961496770e-1,-3.611294329e-1,6.947878853e-1
3.449694167e-1,1.042200565e0,2.829287946e-1,-8.194392323e-1,1.355622136e0
3.550024167e-1,1.413046598e0,3.248970211e-1,-6.497095823e-1,1.588830169e0
3.650354167e-1,1.702955127e0,2.184296101e-1,-4.492131770e-1,1.774700013e0
3.750684167e-1,1.968392611e0,1.642553210e-1,-3.313512504e-1,2.002833725e0
3.851014167e-1,2.323449850e0,1.336134505e-2,-3.167427182e-1,2.344978397e0
3.951344167e-1,2.661422729e0,-1.315950453e-1,-3.193443716e-1,2.683741610e0
4.051664167e-1,2.970631361e0,-1.878468692e-2,-2.160094082e-1,2.978533802e0
4.151994167e-1,3.343894720e0,8.641017228e-2,5.422554538e-2,3.345450497e0
4.252324167e-1,3.707299709e0,4.102195203e-1,1.915124618e-2,3.729975598e0
4.352654167e-1,3.958181143e0,5.763407946e-1,-2.535380721e-1,4.007948131e0
4.452984167e-1,4.168532372e0,5.218414068e-1,-3.324974477e-1,4.214206347e0
4.553314167e-1,4.364017487e0,4.130837023e-1,-4.473971426e-1,4.406296741e0
4.653644167e-1,4.526477814e0,3.538489938e-1,-5.424565673e-1,4.572578008e0
4.753974167e-1,4.634644985e0,2.987191677e-1,-5.397768617e-1,4.675524178e0
4.854304167e-1,4.699516296e0,2.144853473e-1,-5.463014841e-1,4.736021822e0
4.954634167e-1,4.745102406e0,8.650688827e-2,-5.869420767e-1,4.782047813e0
5.054954167e-1,4.769305706e0,-5.883961171e-2,-6.422694325e-1,4.812717428e0
5.155284167e-1,4.760156155e0,-1.867568344e-1,-6.596515775e-1,4.809272807e0
5.255614167e-1,4.711606979e0,-3.413295448e-1,-6.423932910e-1,4.767432782e0
5.355944167e-1,4.609637260e0,-5.223770738e-1,-5.218162537e-1,4.668396479e0
5.456274167e-1,4.455051899e0,-6.510285735e-1,-4.712455571e-1,4.526963442e0
5.556604167e-1,4.274982452e0,-7.302712202e-1,-3.644019365e-1,4.352190230e0
5.656934167e-1,4.033543587e0,-7.762355208e-1,-1.862189919e-1,4.111774916e0
5.757264167e-1,3.761065006e0,-7.887891531e-1,-6.441719830e-2,3.843429183e0
5.857594167e-1,3.438922405e0,-7.627942562e-1,-6.758063566e-3,3.522511612e0
5.957924167e-1,3.076578856e0,-7.464235425e-1,1.993400231e-2,3.165893701e0
6.058244167e-1,2.677816153e0,-7.296781540e-1,2.874896675e-2,2.775600126e0
6.158574167e-1,2.261547804e0,-6.992339492e-1,1.221979037e-2,2.367208463e0
6.258904167e-1,1.846446514e0,-6.179288030e-1,-4.873988032e-2,1.947710531e0
6.359234167e-1,1.434411287e0,-4.523861706e-1,-1.300243437e-1,1.509667287e0
6.459564167e-1,1.024863720e0,-2.498449087e-1,-1.627196670e-1,1.067354586e0
6.559894167e-1,6.107408404e-1,-5.917110667e-2,-1.348680705e-1,6.282475551e-1
6.660224167e-1,1.788315177e-1,5.916699022e-2,-7.917923480e-2,2.043301145e-1
6.760554167e-1,-2.676663399e-1,1.312965751e-1,-4.039961845e-2,3.008590854e-1
6.860884167e-1,-7.176775932e-1,1.438090652e-1,-3.052390181e-2,7.325802916e-1
6.961214167e-1,-1.153181911e0,1.508749574e-1,-4.170891270e-2,1.163757451e0
7.061534167e-1,-1.567395329e0,1.872509271e-1,-5.326639116e-2,1.579439248e0
7.161864167e-1,-1.957481861e0,2.156945467e-1,-5.926276743e-2,1.970221168e0
7.262194167e-1,-2.334626198e0,-6.360036135e-2,-1.074068025e-1,2.337960802e0
7.362524167e-1,-2.678841352e0,-2.844312787e-1,-2.437110990e-1,2.704900598e0
7.462854167e-1,-2.983815193e0,-4.889030159e-1,-4.101093709e-1,3.051289721e0
7.563184167e-1,-3.212901115e0,-4.714808762e-1,-5.096461177e-1,3.287060535e0
7.663514167e-1,-3.345843792e0,-3.541256785e-1,-5.258163214e-1,3.405372003e0
7.763844167e-1,-3.377889633e0,-1.836034656e-1,-4.446208179e-1,3.411969560e0
7.864174167e-1,-3.334205627e0,-6.105658412e-2,-2.849072218e-1,3.346913085e0
7.964494167e-1,-3.237939835e0,5.395335704e-2,-2.683414891e-2,3.238500488e0
8.064824167e-1,-3.106714487e0,2.085322440e-1,2.217031121e-1,3.121588197e0
8.165154167e-1,-2.931296349e0,3.699011505e-1,4.580608010e-1,2.989840270e0
8.265484167e-1,-2.673630714e0,5.217081904e-1,8.221035004e-1,2.845405911e0
8.365814167e-1,-2.362414598e0,3.937257230e-1,9.976508021e-1,2.594480642e0
8.466144167e-1,-2.025336027e0,1.034504175e-1,8.394851685e-1,2.194862948e0
8.566474167e-1,-1.731983304e0,-3.935467452e-2,7.143267393e-1,1.873920395e0
8.666804167e-1,-1.487433791e0,-1.062194183e-1,6.839460731e-1,1.640586505e0
8.767134167e-1,-1.270681739e0,-1.539376825e-1,5.944467783e-1,1.411274553e0
8.867464167e-1,-1.058410645e0,-1.197851747e-1,5.950314403e-1,1.220099994e0
8.967784167e-1,-8.373491168e-1,-1.809903234e-2,6.989748478e-1,1.090892734e0
9.068114167e-1,-5.898373723e-1,-4.332626611e-2,9.062522054e-1,1.082163736e0
9.168444167e-1,-4.793905020e-1,1.194322854e-1,1.167696476e0,1.267909454e0
9.268774167e-1,-4.021490812e-1,-8.661033958e-2,1.188911200e0,1.258067993e0
9.369104167e-1,-3.267696202e-1,2.452337742e-2,1.227314949e0,1.270307744e0
9.469434167e-1,-2.434616983e-1,-3.937198222e-2,1.137667179e0,1.164092076e0
9.569764167e-1,-6.594229490e-2,5.698704347e-2,7.663667798e-1,7.713066514e-1
9.670094167e-1,2.250490785e-1,1.869218946e-1,3.284156024e-1,4.398223395e-1
9.770424167e-1,4.959686995e-1,2.761771977e-1,-4.952345416e-2,5.698345092e-1
9.870754167e-1,6.798757315e-1,3.331090510e-1,-3.150170743e-1,8.200173213e-1
9.971074167e-1,7.661527991e-1,4.385899603e-1,-4.475045502e-1,9.897532962e-1
1.007140417e0,7.701358199e-1,3.878953457e-1,-5.297051668e-1,1.012007680e0
1.017173417e0,7.574040294e-1,3.413446248e-1,-5.974631310e-1,1.023298202e0
1.027206417e0,7.241041064e-1,2.867230177e-1,-5.477402806e-1,9.521324807e-1
1.037239417e0,6.047995687e-1,2.364183068e-1,-3.244744539e-1,7.259199717e-1
1.047272417e0,3.971496522e-1,2.259677351e-1,3.143182024e-2,4.580144352e-1
1.057305417e0,1.541772038e-1,2.425829321e-1,3.162862062e-1,4.273804551e-1
1.067338417e0,-3.264910728e-2,2.611819208e-1,4.184528589e-1,4.943528649e-1
1.077371417e0,-1.275297999e-1,2.621529102e-1,4.564234316e-1,5.415813394e-1
1.087404417e0,-1.559231728e-1,2.373171747e-1,4.159801006e-1,5.036575437e-1
1.097436417e0,-1.350996494e-1,1.616096199e-1,3.167714775e-1,3.804126095e-1
1.107469417e0,-1.277887970e-1,5.310864747e-2,2.177730650e-1,2.580225047e-1
1.117502417e0,-1.416071355e-1,-1.651410945e-2,1.818664670e-1,2.310859331e-1
1.127535417e0,-1.819780618e-1,-5.920249969e-2,1.272331476e-1,2.298025779e-1
1.137568417e0,-2.648010254e-1,-1.259335876e-1,6.322541088e-2,2.999605042e-1
1.147601417e0,-3.891740143e-1,-1.853013188e-1,8.010449260e-2,4.384172920e-1
1.157634417e0,-5.302395225e-1,-2.145894319e-1,1.083883345e-1,5.821946466e-1
1.167667417e0,-6.582156420e-1,-2.209428549e-1,1.153396741e-1,7.038230011e-1
1.177700417e0,-7.706987262e-1,-1.750025302e-1,1.569499671e-1,8.057516393e-1
1.187733417e0,-8.597293496e-1,-9.398691356e-2,2.511490285e-1,9.005797738e-1
1.197765417e0,-9.258590937e-1,3.781771660e-2,3.106445670e-1,9.773153473e-1
1.207798417e0,-9.642331600e-1,1.709381640e-1,3.584505320e-1,1.042809775e0
1.217831417e0,-9.563859105e-1,3.011763096e-1,3.671614826e-1,1.067796204e0
1.227864417e0,-9.153233171e-1,3.684053719e-1,3.441214263e-1,1.044968348e0
1.237897417e0,-8.675624728e-1,3.996775448e-1,3.692643344e-1,1.024091272e0
1.247930417e0,-8.140701652e-1,3.739383817e-1,3.606801331e-1,9.657278631e-1
1.257963417e0,-7.328866124e-1,3.306505680e-1,3.011062741e-1,8.585555154e-1
1.267996417e0,-6.558938622e-1,3.147010505e-1,3.259199262e-1,7.971557614e-1
1.278029417e0,-6.042698026e-1,3.016249239e-1,3.013746142e-1,7.395581432e-1
1.288061417e0,-5.308030248e-1,2.665103376e-1,3.086239100e-1,6.693491831e-1
1.298094417e0,-4.190131128e-1,2.279480249e-1,2.803584337e-1,5.532929984e-1
1.308127417e0,-2.703567743e-1,2.348105013e-1,2.311531752e-1,4.262165499e-1
1.318160417e0,-9.389864653e-2,2.461726069e-1,2.383381277e-1,3.552787235e-1
1.328193417e0,1.033880040e-1,2.680569291e-1,2.346067429e-1,3.709230654e-1
1.338226417e0,2.922466099e-1,3.200439811e-1,2.327515781e-1,4.919446391e-1
1.348259417e0,4.682519436e-1,3.701255023e-1,3.064885437e-1,6.709605038e-1
1.358292417e0,6.430365443e-1,4.133485854e-1,3.496437371e-1,8.405972836e-1
1.368325417e0,8.348305821e-1,4.575946927e-1,3.460103273e-1,1.012945285e0
1.378358417e0,1.071694255e0,4.968672395e-1,2.801647484e-1,1.214041975e0
1.388391417e0,1.358239651e0,5.019677877e-1,5.489188805e-2,1.449068573e0
1.398423417e0,1.637759686e0,3.483113945e-1,-2.256398946e-1,1.689523891e0
1.408456417e0,1.795922637e0,2.296694517e-1,-2.675577402e-1,1.830211277e0
1.418489417e0,1.830270290e0,1.446347237e-1,-3.011894822e-1,1.860517037e0
1.428522417e0,1.765239835e0,1.348705739e-1,-2.661436498e-1,1.790277685e0
1.438555417e0,1.652043223e0,1.847968549e-1,-1.493666917e-1,1.669043768e0
1.448588417e0,1.539366007e0,2.618333995e-1,-1.078363433e-1,1.565194272e0
1.458621417e0,1.439472675e0,2.761247158e-1,-1.098981649e-1,1.469831299e0
1.468654417e0,1.349514842e0,3.028129637e-1,-1.437468976e-1,1.390521187e0
1.478687417e0,1.266533136e0,2.543735206e-1,-2.111496329e-1,1.308967624e0
1.488719417e0,1.180190444e0,9.337364882e-2,-2.972157598e-1,1.220616783e0
1.498752417e0,1.061202526e0,-4.130186513e-2,-3.240058422e-1,1.110331676e0
1.508785417e0,9.118158817e-1,-9.410694987e-2,-3.413550556e-1,9.781551994e-1
1.518818417e0,7.721785903e-1,-1.923373640e-1,-4.132862389e-1,8.966933434e-1
1.528851417e0,6.532965899e-1,-1.159254238e-1,-4.398267567e-1,7.960419047e-1
1.538884417e0,5.968714356e-1,-8.667965233e-2,-2.056976110e-1,6.372443644e-1
1.548917417e0,6.536178589e-1,-7.394602150e-2,-2.320040911e-1,6.975028443e-1
1.558950417e0,7.792224288e-1,-6.999548525e-2,-3.738719821e-1,8.671027739e-1
1.568983417e0,9.059101939e-1,-6.363373250e-2,-2.439025789e-1,9.403249435e-1
1.579016417e0,9.735907316e-1,-9.162514657e-2,-2.079562843e-1,9.997599194e-1
1.589048417e0,9.589016438e-1,-6.714948267e-2,-3.214879930e-1,1.013585687e0
1.599081417e0,8.803629279e-1,-7.095886767e-2,-2.440818995e-1,9.163241890e-1
1.609114417e0,7.960122228e-1,-9.681803733e-2,-1.461834162e-1,8.150943395e-1
1.619147417e0,7.413651943e-1,-1.469075680e-1,-1.179925352e-1,7.649355680e-1
1.629180417e0,7.173847556e-1,-2.168649733e-1,-5.738212541e-2,7.516408800e-1
1.639213417e0,7.046615481e-1,-2.445203066e-1,-6.020931993e-3,7.459050405e-1
1.649246417e0,7.119525671e-1,-2.171588689e-1,-4.922237992e-2,7.459606389e-1
1.659279417e0,7.284364700e-1,-1.718457192e-1,-9.461037070e-2,7.543883379e-1
1.669312417e0,7.125045061e-1,-1.367010474e-1,-5.976053327e-2,7.279568455e-1
1.679345417e0,6.375173330e-1,-1.444383264e-1,-1.963867992e-2,6.539697683e-1
1.689377417e0,5.263999104e-1,-1.981208622e-1,1.264200546e-2,5.625909367e-1
1.699410417e0,4.011484981e-1,-2.725034952e-1,5.980906077e-3,4.849887046e-1
1.709443417e0,2.739849389e-1,-2.906707525e-1,-1.777559146e-2,3.998414745e-1
1.719476417e0,1.668811291e-1,-2.716520727e-1,1.195593737e-2,3.190409132e-1
1.729509417e0,9.748169780e-2,-1.772081107e-1,-1.427298319e-2,2.027538260e-1
1.739542417e0,3.386516869e-2,-3.746538609e-2,-1.086269170e-1,1.197927874e-1
1.749575417e0,5.933343433e-3,6.379207224e-2,-9.518650919e-2,1.147392896e-1
1.759608417e0,6.807368249e-2,8.418282866e-2,-5.217433348e-2,1.201787667e-1
1.769641417e0,1.937845647e-1,7.501389831e-2,-5.879364163e-2,2.159542423e-1
1.779673417e0,3.086378872e-1,7.638463378e-2,-6.415299326e-2,3.243571554e-1
1.789706417e0,3.839064538e-1,1.041332036e-1,-6.899210066e-2,4.037174747e-1
1.799739417e0,3.974278569e-1,1.907069683e-1,-4.395145923e-2,4.430008803e-1
1.809772417e0,3.217122555e-1,3.481177092e-1,-9.010294452e-3,4.740948219e-1
1.819805417e0,1.876599342e-1,4.786522686e-1,1.488861293e-1,5.352488437e-1
1.829838417e0,4.299271107e-2,5.274956822e-1,2.706358731e-1,5.944273242e-1
1.839871417e0,-5.034069717e-2,4.173087478e-1,5.003907681e-1,6.535072284e-1
1.849904417e0,-8.374200761e-2,8.272124082e-2,7.285397053e-1,7.379875539e-1
1.859937417e0,-9.317918122e-2,-3.056901693e-1,5.613680482e-1,6.459589189e-1
1.869970417e0,-1.839852929e-1,-6.661028266e-1,1.321969628e-1,7.035762934e-1
1.880002417e0,-3.334067464e-1,-7.393850088e-1,-2.368732095e-1,8.449610448e-1
1.890035417e0,-5.160399675e-1,-6.434199214e-1,-4.234426320e-1,9.271408231e-1
1.900068417e0,-7.636595964e-1,-3.963656425e-1,-3.747203648e-1,9.384546093e-1
1.910101417e0,-1.082352161e0,-2.482772022e-1,-1.209292561e-1,1.117028046e0
1.920134125e0,-1.413255215e0,-1.788909286e-1,1.278837621e-1,1.430260998e0
1.930167125e0,-1.708325624e0,-1.568769366e-1,1.171296313e-1,1.719507535e0
1.940200125e0,-1.961525321e0,-1.013460308e-1,1.783607602e-1,1.972223406e0
1.950233125e0,-2.106387615e0,3.322408069e-3,2.039586157e-1,2.116241702e0
1.960266125e0,-2.126360416e0,9.149008244e-2,1.339997649e-1,2.132541909e0
1.970298125e0,-2.030614853e0,1.343813390e-1,1.089093536e-1,2.037968663e0
1.980331125e0,-1.833596706e0,9.883799404e-2,1.083522215e-1,1.839452645e0
1.990364125e0,-1.537575841e0,5.455050617e-2,1.021376848e-1,1.541929743e0
2.000397125e0,-1.139197350e0,6.336929649e-2,8.255892992e-2,1.143941540e0
2.010430125e0,-6.531779766e-1,3.152508661e-2,5.730602518e-2,6.564444232e-1
2.020463125e0,-1.306652129e-1,-7.878544182e-2,3.124246746e-2,1.557454188e-1
2.030496125e0,3.435001671e-1,-1.537745148e-1,-6.797876954e-2,3.824396414e-1
2.040529125e0,6.987363100e-1,-1.668186784e-1,-8.061413467e-2,7.228827990e-1
2.050562125e0,9.444688559e-1,-1.297341287e-1,-6.138304994e-2,9.553115945e-1
2.060594125e0,1.087097168e0,-1.157607883e-1,-1.367182881e-1,1.101758913e0
2.070627125e0,1.166144013e0,-1.088648662e-1,-1.368074715e-1,1.179177554e0
2.080660125e0,1.206635475e0,-8.960941434e-2,1.438950375e-2,1.210043832e0
2.090693125e0,1.225842237e0,-8.206688613e-2,3.984776512e-2,1.229232285e0
2.100726125e0,1.210586071e0,-5.542914942e-2,4.989773408e-2,1.212881202e0
2.110759125e0,1.187554002e0,-3.086062893e-2,1.283562928e-1,1.194869124e0
2.120792125e0,1.180440187e0,-4.876166582e-3,2.925422788e-1,1.216159446e0
2.130825125e0,1.108540058e0,6.258145720e-2,1.556480825e-1,1.121161819e0
2.140858125e0,9.593366981e-1,9.310154617e-2,7.208875567e-2,9.665358694e-1
2.150890125e0,7.736430764e-1,9.809263796e-2,1.257953644e-1,7.899178749e-1
2.160923125e0,5.775039196e-1,9.703030437e-2,8.406256139e-2,5.916013619e-1
