"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544830898425e9,"2022-05-03 12:27:10.898 UTC+10:00"
"PAUSE",9.134476125000220e0,1.651544840032530e9,"2022-05-03 12:27:20.033 UTC+10:00"
