"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.340370833e-2,-8.996052742e-1,-4.838831723e-1,1.320106909e-2,1.021570772e0
2.343670833e-2,-1.438703775e0,-7.101809978e-1,3.966886923e-2,1.604929663e0
3.346870833e-2,-1.941583157e0,-1.052872062e0,2.588008344e-2,2.208835555e0
4.350170833e-2,-2.398565531e0,-1.563981891e0,4.893177655e-3,2.863421014e0
5.353470834e-2,-2.848700047e0,-2.245074034e0,5.613159761e-2,3.627478481e0
6.356770833e-2,-3.199217081e0,-2.348712921e0,2.629860938e-1,3.977512288e0
7.360070833e-2,-3.340071201e0,-1.549972296e0,5.589604974e-1,3.724369287e0
8.363370833e-2,-3.327241898e0,-2.092258632e-1,6.408227682e-1,3.394844316e0
9.366570833e-2,-3.369959116e0,-5.738479085e-4,5.861107707e-1,3.420548291e0
1.036987083e-1,-3.046821833e0,-7.077571750e-1,6.772969365e-1,3.200433508e0
1.137317083e-1,-2.110211134e0,-1.644413590e0,8.704272509e-1,2.813313115e0
1.237647083e-1,-1.114732504e0,-1.872201920e0,9.790077209e-1,2.388770542e0
1.337977083e-1,-5.431917906e-1,-1.396727800e0,9.264790416e-1,1.761893664e0
1.438307083e-1,-3.459811807e-1,-8.563522100e-1,7.967968583e-1,1.219806263e0
1.538627083e-1,-2.708123922e-1,-4.873356223e-1,7.574645877e-1,9.405253650e-1
1.638957083e-1,-1.468180269e-1,-4.865047634e-1,6.933764219e-1,8.596588162e-1
1.739287083e-1,1.260491926e-2,-7.357302904e-1,5.497625470e-1,9.185296959e-1
1.839617083e-1,1.812858135e-1,-8.340206742e-1,3.375189900e-1,9.178094028e-1
1.939947083e-1,3.897074759e-1,-5.568436384e-1,1.320832819e-1,6.923819378e-1
2.040277083e-1,6.154751778e-1,5.012044217e-3,-3.153144568e-2,6.163027236e-1
2.140597083e-1,8.058860898e-1,6.854025722e-1,-1.475275606e-1,1.068172953e0
2.240927083e-1,8.903943300e-1,1.254162192e0,-1.735050976e-1,1.547846532e0
2.341257083e-1,8.818280101e-1,1.479689002e0,-1.446745098e-1,1.728592172e0
2.441587083e-1,8.179227114e-1,1.417990923e0,-8.580403775e-2,1.639224863e0
2.541917083e-1,6.829459667e-1,1.324738741e0,5.836006254e-2,1.491560868e0
2.642247083e-1,4.795614481e-1,1.292185307e0,2.235759199e-1,1.396319534e0
2.742577083e-1,2.456727922e-1,1.217398167e0,3.797170520e-1,1.298691055e0
2.842897083e-1,-9.675695747e-2,4.991344810e-1,4.886620641e-1,7.051863241e-1
2.943227083e-1,-4.730826318e-1,-5.050500631e-1,4.895898998e-1,8.476915788e-1
3.043557083e-1,-7.705246210e-1,-1.052119613e0,5.364781022e-1,1.410132130e0
3.143887083e-1,-9.116926789e-1,-1.275813460e0,6.448479891e-1,1.695497701e0
3.244217083e-1,-8.154741526e-1,-1.406538963e0,7.187591195e-1,1.777628932e0
3.344547083e-1,-4.978767335e-1,-1.328431010e0,6.462236643e-1,1.558914756e0
3.444867083e-1,-9.785064310e-2,-1.334012985e0,5.092388988e-1,1.431254572e0
3.545197083e-1,2.381630540e-1,-1.298366070e0,3.583729565e-1,1.367811123e0
3.645527083e-1,4.914675057e-1,-1.186162233e0,1.639557928e-1,1.294373460e0
3.745857083e-1,6.793426275e-1,-8.926759958e-1,-9.216519073e-3,1.121811831e0
3.846187083e-1,8.308196664e-1,-5.230852962e-1,-1.451576054e-1,9.924466109e-1
3.946517083e-1,9.423086643e-1,-2.238146663e-1,-1.835420132e-1,9.857617837e-1
4.046837083e-1,9.365573525e-1,-1.168609634e-1,-1.229376271e-1,9.517929499e-1
4.147167083e-1,8.488748670e-1,-8.711584657e-2,-2.635196224e-2,8.537400871e-1
4.247497083e-1,7.256792784e-1,-1.137147918e-1,8.828730136e-2,7.398216789e-1
4.347827083e-1,5.191282630e-1,-1.585757434e-1,1.682327390e-1,5.682804539e-1
4.448157083e-1,2.163790911e-1,-2.102419436e-1,2.173820734e-1,3.718555523e-1
4.548487083e-1,-1.729143262e-1,-2.398557663e-1,2.199115455e-1,3.684986305e-1
4.648807083e-1,-5.522047281e-1,-4.232699051e-2,2.047718763e-1,5.904685912e-1
4.749137083e-1,-8.790579438e-1,4.129606187e-1,2.004676759e-1,9.916988607e-1
4.849467083e-1,-1.121405721e0,9.417517185e-1,1.563294232e-1,1.472713814e0
4.949797083e-1,-1.220932841e0,1.468765736e0,7.893557847e-2,1.911591121e0
5.050127083e-1,-1.127389669e0,1.982917786e0,2.396600321e-2,2.281127962e0
5.150457083e-1,-9.399936795e-1,2.040991545e0,-3.983606119e-3,2.247053732e0
5.250777083e-1,-7.096915245e-1,1.394475222e0,-1.339601129e-1,1.570403934e0
5.351107083e-1,-4.305490851e-1,8.051355481e-1,-3.387148678e-1,9.738293111e-1
5.451437083e-1,-2.134535313e-1,3.834148347e-1,-4.974859953e-1,6.633714352e-1
5.551767083e-1,-4.066816345e-2,2.806543708e-1,-4.958150983e-1,5.711859479e-1
5.652097083e-1,7.935012132e-2,3.184981644e-1,-3.782898188e-1,5.008400039e-1
5.752427083e-1,2.033274472e-1,4.494758844e-1,-2.526909113e-1,5.542772935e-1
5.852747083e-1,3.690042198e-1,4.975784719e-1,-1.421810687e-1,6.355815496e-1
5.953077083e-1,5.430726409e-1,4.025547504e-1,-3.828250105e-3,6.760124821e-1
6.053407083e-1,6.471588612e-1,1.213492826e-1,1.365361810e-1,6.724450674e-1
6.153737083e-1,5.961366892e-1,-4.057310522e-1,2.140610665e-1,7.522092655e-1
6.254067083e-1,4.025983512e-1,-7.238811255e-1,3.028970361e-1,8.819500727e-1
6.354397083e-1,8.722095191e-2,-7.391234636e-1,3.640797138e-1,8.285318503e-1
6.454727083e-1,-3.130657971e-1,-6.920857430e-1,3.236266375e-1,8.256676507e-1
6.555047083e-1,-7.109149098e-1,-5.922830105e-1,1.982021481e-1,9.462997755e-1
6.655377083e-1,-1.045316458e0,-4.647073448e-1,6.734316796e-2,1.145938269e0
6.755707083e-1,-1.320991635e0,-5.341575146e-1,-1.151702181e-2,1.424947646e0
6.856037083e-1,-1.545241952e0,-7.273862958e-1,-5.318587646e-3,1.707891039e0
6.956367083e-1,-1.748641968e0,-8.367069364e-1,7.718560845e-2,1.940047640e0
7.056697083e-1,-1.980187416e0,-8.431721926e-1,1.324363202e-1,2.156297968e0
7.157017083e-1,-2.211127758e0,-6.292601824e-1,1.254087687e-1,2.302342654e0
7.257347083e-1,-2.408636093e0,-3.361544609e-1,1.156250089e-1,2.434727252e0
7.357677083e-1,-2.472950935e0,-1.489808559e-1,1.277999133e-1,2.480728611e0
7.458007083e-1,-2.360380173e0,-1.247958094e-1,1.597289741e-1,2.369067728e0
7.558337083e-1,-2.106894016e0,-2.855799198e-1,1.868372858e-1,2.134353874e0
7.658667083e-1,-1.761966825e0,-3.735219836e-1,2.255593687e-1,1.815192219e0
7.758987083e-1,-1.367866397e0,-2.225417793e-1,2.572799921e-1,1.409530531e0
7.859317083e-1,-1.007108212e0,9.763669223e-2,3.179745078e-1,1.060616642e0
7.959647083e-1,-6.775156260e-1,3.560605347e-1,3.759374022e-1,8.527223805e-1
8.059977083e-1,-3.890112638e-1,5.166334510e-1,4.229384065e-1,7.727333186e-1
8.160307083e-1,-6.983116269e-2,5.070719123e-1,5.397846103e-1,7.438855698e-1
8.260637083e-1,3.041626215e-1,3.812507987e-1,5.968375802e-1,7.707672599e-1
8.360957083e-1,7.139945626e-1,1.602537036e-1,4.212058783e-1,8.443245092e-1
8.461287083e-1,1.107963324e0,-7.255379856e-2,2.129391208e-2,1.110540504e0
8.561617083e-1,1.450315833e0,-6.788447499e-2,-3.946982324e-1,1.504596628e0
8.661947083e-1,1.665544987e0,2.478272319e-1,-7.427572012e-1,1.840420251e0
8.762277083e-1,1.731011152e0,6.755644679e-1,-8.824223876e-1,2.057050371e0
8.862607083e-1,1.672640324e0,1.014027715e0,-8.432080150e-1,2.130018219e0
8.962927083e-1,1.492372870e0,9.836686850e-1,-5.861812830e-1,1.881060702e0
9.063257083e-1,1.185517430e0,5.612769723e-1,-2.473110408e-1,1.334783191e0
9.163587083e-1,8.248022199e-1,-5.843902007e-2,2.809853060e-3,8.268746678e-1
9.263917083e-1,4.678568542e-1,-4.741905332e-1,1.291207969e-1,6.785417290e-1
9.364247083e-1,1.492970139e-1,-4.698754251e-1,1.509744376e-1,5.156217550e-1
9.464577083e-1,-1.154765114e-1,-2.663570940e-1,9.194498509e-2,3.045239014e-1
9.564897083e-1,-3.380168974e-1,-8.514814079e-2,-3.453438869e-3,3.485936819e-1
9.665227083e-1,-5.281622410e-1,-9.526021034e-2,-8.154909313e-2,5.428444667e-1
9.765563333e-1,-7.354144454e-1,-3.734859824e-1,-7.296785712e-2,8.280401523e-1
9.865893333e-1,-9.631873965e-1,-7.859203219e-1,-4.110341426e-3,1.243148265e0
9.966223333e-1,-1.188000798e0,-1.139051795e0,4.957552254e-2,1.646585139e0
1.006655333e0,-1.397226453e0,-1.185904980e0,1.292795241e-1,1.837205916e0
1.016687333e0,-1.568808675e0,-9.491043091e-1,1.000593305e-1,1.836292874e0
1.026720333e0,-1.636746049e0,-5.299809575e-1,-1.437615603e-1,1.726408072e0
1.036753333e0,-1.595761299e0,-2.809543908e-2,-4.159651101e-1,1.649324240e0
1.046786333e0,-1.459094286e0,4.248445332e-1,-5.404732823e-1,1.612935331e0
1.056819333e0,-1.271525383e0,7.112832069e-1,-4.745875001e-1,1.532296934e0
1.066852333e0,-1.049104810e0,8.128939271e-1,-3.100061417e-1,1.362909112e0
1.076884333e0,-8.136009574e-1,8.537585139e-1,-1.505451202e-1,1.188912928e0
1.086917333e0,-5.849987864e-1,9.422951937e-1,-4.158938304e-2,1.109897963e0
1.096950333e0,-3.685404956e-1,1.098372698e0,9.634124115e-3,1.158592895e0
1.106983333e0,-1.509341002e-1,1.214486241e0,2.824566560e-3,1.223832469e0
1.117016333e0,7.445056736e-2,1.221204162e0,-8.588409983e-3,1.223501636e0
