"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544970174561e9,"2022-05-03 12:29:30.175 UTC+10:00"
"PAUSE",8.300340208334092e0,1.651544978474565e9,"2022-05-03 12:29:38.475 UTC+10:00"
