"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.727466666e-2,4.449396133e-1,2.114411816e-2,-5.837887526e-2,4.492509614e-1
2.730666666e-2,5.156790018e-1,1.579214334e-1,-1.456381008e-2,5.395147047e-1
3.733866667e-2,5.003085732e-1,2.667709589e-1,9.201189876e-2,5.744054339e-1
4.737066667e-2,3.935629725e-1,3.078290522e-1,1.861948073e-1,5.332157584e-1
5.740366667e-2,1.708063334e-1,3.036657274e-1,2.295081913e-1,4.172070079e-1
6.743566666e-2,-1.488137394e-1,2.785437107e-1,2.697696686e-1,4.153405854e-1
7.746766666e-2,-5.145584345e-1,3.034546673e-1,2.667514980e-1,6.542258626e-1
8.749966667e-2,-8.934080005e-1,3.630276918e-1,3.033988774e-1,1.010948979e0
9.753266667e-2,-1.258859873e0,4.229845107e-1,3.381049335e-1,1.370386450e0
1.075646667e-1,-1.561269403e0,4.602057040e-1,3.333937228e-1,1.661476094e0
1.175966667e-1,-1.790742040e0,4.875249565e-1,2.644311786e-1,1.874663032e0
1.276286667e-1,-1.949849963e0,5.203656554e-1,1.894693673e-1,2.026966683e0
1.376616667e-1,-2.047877312e0,5.845481157e-1,1.382645071e-1,2.134154413e0
1.476936667e-1,-2.090732098e0,6.614943743e-1,1.070938334e-1,2.195496436e0
1.577256667e-1,-2.082936525e0,7.400442958e-1,1.014995947e-1,2.212824506e0
1.677576667e-1,-2.030321836e0,8.121150732e-1,1.104159132e-1,2.189504356e0
1.777906667e-1,-1.946915865e0,8.807812333e-1,1.078140065e-1,2.139598286e0
1.878226667e-1,-1.855305552e0,8.882066011e-1,1.076601967e-1,2.059771924e0
1.978546667e-1,-1.903189421e0,1.619979739e-1,6.206172705e-1,2.008367275e0
2.078866667e-1,-1.908901691e0,1.119649783e-1,8.629074097e-1,2.097868209e0
2.179196667e-1,-1.709691405e0,-3.446973115e-2,1.602564454e0,2.343596743e0
2.279516667e-1,-1.264893055e0,9.028688073e-2,1.803963661e0,2.205083003e0
2.379836667e-1,-6.681789160e-1,2.795399539e-2,1.959949613e0,2.070904868e0
2.480156667e-1,-8.562970906e-2,1.834029891e-2,1.772350669e0,1.774512808e0
2.580486667e-1,4.650433064e-1,8.993219584e-2,1.543614507e0,1.614651300e0
2.680806667e-1,9.460980296e-1,1.679210663e-1,1.413430452e0,1.709118080e0
2.781126667e-1,1.274432182e0,2.239036411e-1,1.205099702e0,1.768212521e0
2.881456667e-1,1.440233707e0,2.665719390e-1,1.010231256e0,1.779297873e0
2.981776667e-1,1.441793799e0,1.513572037e-1,8.134732842e-1,1.662352895e0
3.082096667e-1,1.364426851e0,1.285980940e-1,5.240132809e-1,1.467238229e0
3.182416667e-1,1.290057778e0,8.072456717e-2,3.909524083e-1,1.350410794e0
3.282746667e-1,1.211747527e0,5.794100463e-2,2.670586407e-1,1.242179354e0
3.383066667e-1,1.114586115e0,1.179500148e-1,1.073784381e-1,1.125941625e0
3.483386667e-1,9.651045203e-1,1.570566446e-1,1.206419058e-2,9.778747719e-1
3.583706667e-1,7.658353448e-1,2.192209512e-1,-5.980493873e-2,7.988355472e-1
3.684036667e-1,5.111492872e-1,2.547334135e-1,-6.875972450e-2,5.752309149e-1
3.784356667e-1,2.047161013e-1,3.674008548e-1,-1.561079472e-1,4.486220697e-1
3.884676667e-1,-8.570428193e-2,4.997092187e-1,-2.413856536e-1,5.615350043e-1
3.984996667e-1,-3.385240138e-1,6.204612255e-1,-2.992319167e-1,7.675352632e-1
4.085326667e-1,-5.923714638e-1,6.484862566e-1,-1.401041001e-1,8.894197743e-1
4.185646667e-1,-8.853670955e-1,5.862351060e-1,2.019595057e-1,1.080895062e0
4.285966667e-1,-1.106947422e0,5.047302842e-1,2.407006919e-1,1.240170181e0
4.386286667e-1,-1.142081380e0,4.187970161e-1,2.028379887e-1,1.233241286e0
4.486616667e-1,-1.045507789e0,3.308602273e-1,2.754068673e-1,1.130665277e0
4.586936667e-1,-9.493572712e-1,2.144824862e-1,3.284786046e-1,1.027219625e0
4.687256667e-1,-9.033786058e-1,1.066299379e-1,2.515103519e-1,9.437797975e-1
4.787576667e-1,-8.658503890e-1,4.476939328e-3,1.898126453e-1,8.864230251e-1
4.887906667e-1,-8.467736244e-1,-1.169372499e-1,1.650314629e-1,8.705947824e-1
4.988226667e-1,-8.401516676e-1,-2.367656529e-1,1.916164607e-1,8.936608232e-1
5.088546667e-1,-8.178221583e-1,-2.347836345e-1,2.470030487e-1,8.859836024e-1
5.188866667e-1,-7.742627263e-1,-1.161627248e-1,2.773942649e-1,8.306167144e-1
5.289196667e-1,-6.608999372e-1,-7.943898439e-2,2.215566933e-1,7.015601525e-1
5.389516667e-1,-4.984058440e-1,-5.509849638e-2,1.577193886e-1,5.256611410e-1
5.489836667e-1,-3.668882847e-1,4.132087156e-2,7.591030747e-2,3.769307664e-1
5.590156667e-1,-2.541825175e-1,1.224468797e-1,-2.511510998e-2,2.832538779e-1
5.690486667e-1,-1.567174643e-1,1.777023077e-1,-3.911155462e-2,2.401420153e-1
5.790806667e-1,-7.527267933e-2,1.651268601e-1,5.866400898e-2,1.907205341e-1
5.891126667e-1,3.086787462e-2,1.464704573e-1,1.884459108e-1,2.406621737e-1
5.991446667e-1,1.244779825e-1,8.211383969e-2,2.517918646e-1,2.926373078e-1
6.091776667e-1,1.471382827e-1,9.498675168e-2,4.207988977e-1,4.557892820e-1
6.192096667e-1,1.703437418e-1,4.026411101e-2,4.785660505e-1,5.095720300e-1
6.292416667e-1,2.088485360e-1,2.342374623e-1,4.447000027e-1,5.442820887e-1
6.392746667e-1,2.481623739e-1,4.275302291e-1,3.298863173e-1,5.942992873e-1
6.493070417e-1,2.828798890e-1,4.920738339e-1,2.988187075e-1,6.414439255e-1
6.593390417e-1,3.099160194e-1,5.047609210e-1,3.796645701e-1,7.035458139e-1
6.693710417e-1,3.329204023e-1,4.812815785e-1,5.678651333e-1,8.154377730e-1
6.794040417e-1,3.245215714e-1,4.383255839e-1,8.310049176e-1,9.939883002e-1
6.894360417e-1,2.835576534e-1,4.403573275e-1,1.045306206e0,1.169181159e0
6.994680417e-1,2.143207788e-1,4.885128736e-1,1.201009512e0,1.314154508e0
7.095000417e-1,1.244710684e-1,4.597966075e-1,1.193408966e0,1.284963395e0
7.195330417e-1,1.168379281e-2,3.615275621e-1,1.031847477e0,1.093411133e0
7.295650417e-1,-1.290243119e-1,2.370758355e-1,9.289555550e-1,9.673730655e-1
7.395970417e-1,-2.905956209e-1,1.606726795e-1,9.078729153e-1,9.666926891e-1
7.496290417e-1,-4.575670362e-1,1.423229575e-1,9.164780974e-1,1.034193173e0
7.596620417e-1,-6.184630394e-1,1.377412677e-1,9.650291204e-1,1.154448089e0
7.696940417e-1,-7.576714754e-1,9.694992006e-2,1.076771259e0,1.320190023e0
7.797260417e-1,-8.650999665e-1,-3.072548285e-2,1.284669042e0,1.549101854e0
7.897580417e-1,-9.548359513e-1,-1.731386930e-1,1.310347199e0,1.630551589e0
7.997910417e-1,-1.057839036e0,-3.048128486e-1,1.270309806e0,1.680958447e0
8.098230417e-1,-1.196169257e0,-3.879338205e-1,1.196874142e0,1.736036074e0
8.198550417e-1,-1.369921327e0,-4.464759529e-1,1.072481632e0,1.796174287e0
8.298870417e-1,-1.545280337e0,-4.641665518e-1,9.429172277e-1,1.868805717e0
8.399200417e-1,-1.736606836e0,-4.713816047e-1,8.308412433e-1,1.981994221e0
8.499520417e-1,-1.946445584e0,-3.888852596e-1,6.239948273e-1,2.080685392e0
8.599840417e-1,-2.175025463e0,-3.439750373e-1,5.521667600e-1,2.270229663e0
8.700160417e-1,-2.385554075e0,-3.090642095e-1,4.631855786e-1,2.449679532e0
8.800490417e-1,-2.610902309e0,-3.280269802e-1,4.118515551e-1,2.663462835e0
8.900810417e-1,-2.834826708e0,-3.197205365e-1,3.036403358e-1,2.868912884e0
9.001130417e-1,-3.066076756e0,-2.616628110e-1,2.346495688e-1,3.086155297e0
9.101450417e-1,-3.289695263e0,-2.519995570e-1,1.502311230e-1,3.302751594e0
9.201780417e-1,-3.453189850e0,-3.391240835e-1,4.059303552e-2,3.470039348e0
9.302100417e-1,-3.562757015e0,-4.761641324e-1,-3.323031962e-2,3.594589557e0
9.402420417e-1,-3.659528017e0,-5.869724154e-1,4.025774449e-2,3.706521632e0
9.502740417e-1,-3.769549370e0,-6.273984909e-1,9.736245871e-2,3.822644473e0
9.603070417e-1,-3.907216787e0,-6.343504190e-1,1.591762900e-1,3.961575516e0
9.703390417e-1,-4.073935986e0,-5.786587000e-1,2.000386268e-1,4.119686366e0
9.803710417e-1,-4.302561760e0,-3.895679116e-1,1.496561468e-1,4.322753500e0
9.904030417e-1,-4.577344418e0,-1.759240329e-1,3.969469666e-2,4.580895857e0
1.000436042e0,-4.856525421e0,-7.826217264e-2,-3.507900750e-3,4.857157238e0
1.010468042e0,-5.134084225e0,-3.423841298e-2,4.353772476e-2,5.134382984e0
1.020500042e0,-5.426103592e0,-4.477387667e-2,1.885087639e-1,5.429561718e0
1.030532042e0,-5.668237686e0,-5.902829394e-2,3.685355783e-1,5.680512413e0
1.040565042e0,-5.844024658e0,1.188396290e-2,4.174274802e-1,5.858925766e0
1.050597042e0,-5.976536751e0,1.350246519e-1,4.381647706e-1,5.994098060e0
1.060629042e0,-6.078486919e0,2.080972642e-1,4.649234116e-1,6.099791921e0
1.070661042e0,-6.174015045e0,2.318793237e-1,4.809920788e-1,6.197062464e0
1.080694042e0,-6.323619843e0,2.922268510e-1,5.496276021e-1,6.354184050e0
1.090726042e0,-6.519136906e0,2.932901978e-1,5.223128200e-1,6.546600325e0
1.100758042e0,-6.806183815e0,2.625202835e-1,3.924238384e-1,6.822539959e0
1.110791042e0,-7.177943707e0,2.757773995e-1,2.468589097e-1,7.187479972e0
1.120823042e0,-7.608392715e0,3.764611185e-1,6.439083815e-2,7.617972753e0
1.130855042e0,-8.100559235e0,4.758215547e-1,-1.138338745e-1,8.115320340e0
1.140887042e0,-8.629379272e0,5.663226843e-1,-2.147303969e-1,8.650607907e0
1.150920042e0,-9.166337967e0,6.346960664e-1,-1.885265261e-1,9.190219425e0
