"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544016104692e9,"2022-05-03 12:13:36.105 UTC+10:00"
"PAUSE",9.867425833333982e0,1.651544025971718e9,"2022-05-03 12:13:45.972 UTC+10:00"
