"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544540551021e9,"2022-05-03 12:22:20.551 UTC+10:00"
"PAUSE",8.116338374995394e0,1.651544548667030e9,"2022-05-03 12:22:28.667 UTC+10:00"
