"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.206004167e-2,-1.913250685e-1,-1.323366910e-1,2.000465523e-3,2.326419641e-1
2.209204167e-2,-3.632369041e-1,-1.773824692e-1,6.735710055e-2,4.098079647e-1
3.212504167e-2,-5.571842194e-1,-2.619397938e-1,1.273325384e-1,6.287131979e-1
4.215704167e-2,-7.624468207e-1,-3.910351992e-1,1.821228117e-1,8.760150683e-1
5.219004167e-2,-9.770627618e-1,-5.132186413e-1,2.436597198e-1,1.130227886e0
6.222204167e-2,-1.199866295e0,-6.084367633e-1,3.204056323e-1,1.382944030e0
7.225504167e-2,-1.427793384e0,-6.650736928e-1,3.854344785e-1,1.621566126e0
8.228704167e-2,-1.665008903e0,-6.905039549e-1,4.473236799e-1,1.857188421e0
9.232004167e-2,-1.916650057e0,-7.299942374e-1,4.855096936e-1,2.107642923e0
1.023520417e-1,-2.178180933e0,-7.915510535e-1,5.130158663e-1,2.373649200e0
1.123850417e-1,-2.447334766e0,-8.462729454e-1,5.590031147e-1,2.649171538e0
1.224170417e-1,-2.724254847e0,-8.874195814e-1,5.989190936e-1,2.927077393e0
1.324500417e-1,-3.010145664e0,-9.330711961e-1,6.343753338e-1,3.214658744e0
1.424820417e-1,-3.308292150e0,-1.009466410e0,6.702890992e-1,3.523223930e0
1.525150417e-1,-3.621119738e0,-1.093556762e0,6.356700659e-1,3.835681293e0
1.625470417e-1,-3.999574900e0,-9.552130699e-1,2.848491967e-1,4.121913445e0
1.725800417e-1,-4.456295490e0,-7.112107277e-1,-1.657279581e-1,4.515734265e0
1.826120417e-1,-4.811521530e0,-5.836429596e-1,-2.647024691e-1,4.854013384e0
1.926450417e-1,-5.056557178e0,-4.896587133e-1,-2.166571319e-1,5.084828067e0
2.026770417e-1,-5.258751869e0,-3.887278438e-1,-1.666837186e-1,5.275733505e0
2.127100417e-1,-5.455193996e0,-3.885327876e-1,-2.264799178e-1,5.473700067e0
