"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544100420051e9,"2022-05-03 12:15:00.420 UTC+10:00"
"PAUSE",7.950924291668343e0,1.651544108370652e9,"2022-05-03 12:15:08.371 UTC+10:00"
