"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544333012978e9,"2022-05-03 12:18:53.013 UTC+10:00"
"PAUSE",7.349490958331444e0,1.651544340362170e9,"2022-05-03 12:19:00.362 UTC+10:00"
