"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.119815833e-1,-5.371403694e-1,1.467063427e0,1.243486404e-1,1.567245182e0
6.220135833e-1,-3.358084559e-1,1.093555689e0,7.860197872e-2,1.146651488e0
6.320465833e-1,-6.545578688e-2,6.163164377e-1,2.198184654e-2,6.201722446e-1
6.420795833e-1,1.873109043e-1,2.301442474e-1,3.766098060e-3,2.967590487e-1
6.521125833e-1,2.795769274e-1,-1.133415010e-2,7.349005342e-2,2.892965766e-1
6.621455833e-1,2.879783213e-1,-1.994236857e-1,1.735459864e-1,3.909213851e-1
6.721785833e-1,2.019699067e-1,-3.658869565e-1,2.962021232e-1,5.122507256e-1
6.822115833e-1,5.465538055e-2,-5.068466067e-1,3.947314322e-1,6.447430472e-1
6.922445833e-1,-9.819221497e-2,-6.161177158e-1,4.060021937e-1,7.443658591e-1
7.022765833e-1,-1.936424524e-1,-6.548655629e-1,3.202149272e-1,7.542439290e-1
7.123095833e-1,-1.805410236e-1,-6.864389181e-1,1.861130148e-1,7.337789202e-1
7.223425833e-1,-4.115713015e-2,-7.008607388e-1,6.594164670e-2,7.051581278e-1
7.323755833e-1,1.609168798e-1,-6.650388241e-1,-6.425790489e-2,6.872408297e-1
7.424085833e-1,3.779700994e-1,-6.542173624e-1,-3.141268194e-1,8.182526578e-1
7.524415833e-1,5.588480234e-1,-3.520617783e-1,-5.580486655e-1,8.646831339e-1
7.624745833e-1,6.452772021e-1,-9.608469903e-2,-8.546876311e-1,1.075223644e0
7.725065833e-1,6.151691079e-1,1.202009916e-1,-1.015349269e0,1.193237381e0
7.825395833e-1,4.875048697e-1,4.435850382e-1,-9.037938118e-1,1.118602672e0
7.925725833e-1,2.557155788e-1,1.073538780e0,-4.419494867e-1,1.188778919e0
8.026055833e-1,1.288367435e-3,1.315398932e0,-1.371549219e-1,1.322530711e0
8.126385833e-1,-2.149163634e-1,1.073983908e0,-9.106439352e-2,1.099055595e0
8.226715833e-1,-3.716404140e-1,8.479645848e-1,-8.010310680e-2,9.292884601e-1
8.327045833e-1,-4.767002463e-1,7.065033317e-1,-2.432053164e-2,8.526321427e-1
8.427375833e-1,-5.918673277e-1,5.828169584e-1,8.974196389e-3,8.307003532e-1
8.527695833e-1,-6.990840435e-1,2.873528302e-1,-7.214222848e-2,7.592724478e-1
8.628025833e-1,-7.774574757e-1,-5.539644510e-2,-1.429754198e-1,7.924335071e-1
8.728355833e-1,-8.097288609e-1,-3.787036836e-1,-1.372051537e-1,9.043796561e-1
8.828685833e-1,-7.688698769e-1,-5.755430460e-1,-1.192199066e-1,9.677934033e-1
8.929019583e-1,-6.483815312e-1,-5.698713064e-1,-1.280155182e-1,8.726625286e-1
9.029349583e-1,-4.431022406e-1,-4.842281938e-1,-1.521686018e-1,6.737743113e-1
9.129679583e-1,-1.910596043e-1,-3.929430246e-1,-2.032126188e-1,4.818748400e-1
9.229999583e-1,6.511158496e-2,-2.668928504e-1,-2.940718830e-1,4.024296018e-1
9.330329583e-1,2.864687443e-1,-1.447357982e-1,-4.094046056e-1,5.202162280e-1
9.430659583e-1,4.551872313e-1,-8.724906482e-3,-4.458955526e-1,6.372553518e-1
9.530989583e-1,5.813272595e-1,1.295850277e-1,-3.791636825e-1,7.060444463e-1
9.631319583e-1,6.627082229e-1,1.853016615e-1,-2.386658192e-1,7.283407634e-1
9.731649583e-1,6.875373721e-1,2.833576500e-1,-7.625798881e-2,7.475389466e-1
9.831979583e-1,6.417270303e-1,4.374714494e-1,8.057726175e-2,7.808249135e-1
9.932309583e-1,5.275200605e-1,6.047153473e-1,2.271403372e-1,8.339968815e-1
1.003262958e0,3.686761856e-1,7.239325643e-1,3.467064798e-1,8.832926302e-1
1.013295958e0,1.760425717e-1,6.778558493e-1,4.225112200e-1,8.179213107e-1
1.023328958e0,-5.217276141e-2,4.857898057e-1,4.082846045e-1,6.367181878e-1
1.033361958e0,-2.621752620e-1,2.620733380e-1,2.734173536e-1,4.606249578e-1
1.043394958e0,-4.258729219e-1,1.011797786e-1,8.997915685e-2,4.468795608e-1
1.053427958e0,-5.528287292e-1,8.709165454e-2,5.997169763e-3,5.596789491e-1
1.063460958e0,-6.646238565e-1,2.558343709e-1,4.627651721e-2,7.136649158e-1
1.073492958e0,-7.781938314e-1,3.905391693e-1,1.188378036e-1,8.787655578e-1
1.083525958e0,-8.838351965e-1,3.979375660e-1,1.736790240e-1,9.847250197e-1
1.093558958e0,-9.474567771e-1,3.492698967e-1,2.088726908e-1,1.031160320e0
1.103591958e0,-9.445446134e-1,3.946117759e-1,2.544252574e-1,1.054805760e0
1.113624958e0,-8.755967021e-1,5.021563172e-1,3.060626090e-1,1.054753465e0
1.123657958e0,-7.499619126e-1,6.382339001e-1,3.240764439e-1,1.036730883e0
1.133690958e0,-5.841220617e-1,6.275778413e-1,2.910921276e-1,9.054209831e-1
1.143722958e0,-4.031221867e-1,4.121150374e-1,2.240033746e-1,6.184850954e-1
1.153755958e0,-2.173296809e-1,1.466293037e-1,1.218543649e-1,2.891034921e-1
1.163788958e0,-4.148450494e-2,-3.817758337e-2,-2.087388420e-3,5.641674585e-2
1.173821958e0,1.217156053e-1,-1.346300840e-1,-1.332464814e-1,2.251545534e-1
1.183854958e0,2.581204176e-1,-2.587575614e-1,-2.238460332e-1,4.285891648e-1
1.193887958e0,3.757815361e-1,-4.175527990e-1,-2.250146270e-1,6.051393932e-1
1.203920958e0,4.880199134e-1,-4.842500091e-1,-1.561056525e-1,7.050038879e-1
1.213952958e0,5.992844105e-1,-4.253768623e-1,-1.081471741e-1,7.428210356e-1
1.223985958e0,6.968990564e-1,-3.622839451e-1,-1.486784965e-1,7.993892963e-1
1.234018958e0,7.665239573e-1,-9.325489402e-2,-1.601955891e-1,7.886178283e-1
1.244051958e0,7.206175327e-1,4.050547481e-1,-1.215332597e-1,8.355413279e-1
1.254084958e0,4.832148254e-1,8.360806704e-1,-2.543255500e-2,9.660094563e-1
1.264117958e0,2.533515096e-1,8.335822225e-1,5.627019331e-2,8.730479046e-1
1.274150958e0,-7.108853199e-3,7.681097388e-1,1.709946394e-1,7.869448986e-1
1.284183958e0,-2.187392414e-1,6.951297522e-1,2.443873435e-1,7.686204536e-1
1.294215958e0,-3.477984369e-1,6.214289069e-1,2.243622243e-1,7.466431857e-1
1.304248958e0,-3.866666555e-1,5.171985626e-1,1.112844422e-1,6.552783247e-1
