"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544232054067e9,"2022-05-03 12:17:12.054 UTC+10:00"
"PAUSE",7.833413125001243e0,1.651544239887162e9,"2022-05-03 12:17:19.887 UTC+10:00"
