"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651545872411343e9,"2022-05-03 12:44:32.411 UTC+10:00"
"PAUSE",1.098354454166838e1,1.651545883394656e9,"2022-05-03 12:44:43.395 UTC+10:00"
