"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544198340257e9,"2022-05-03 12:16:38.340 UTC+10:00"
"PAUSE",7.934113625000464e0,1.651544206274048e9,"2022-05-03 12:16:46.274 UTC+10:00"
