"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651544282322778e9,"2022-05-03 12:18:02.323 UTC+10:00"
"PAUSE",8.517144541663583e0,1.651544290839578e9,"2022-05-03 12:18:10.840 UTC+10:00"
