"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
6.990791662e-3,-2.263461351e-1,-5.215650201e-1,1.299257576e-1,5.832180943e-1
1.702379167e-2,-2.314777821e-1,-6.205560565e-1,1.471409649e-1,6.784705199e-1
2.705679167e-2,-2.562682629e-1,-7.161570787e-1,1.616249830e-1,7.776098116e-1
3.708979167e-2,-3.041545451e-1,-8.110619783e-1,1.840266883e-1,8.855491754e-1
4.712279166e-2,-3.504089713e-1,-8.791763186e-1,2.245847881e-1,9.727156694e-1
5.715579166e-2,-3.432407975e-1,-9.321303368e-1,3.083422780e-1,1.040075079e0
6.718879167e-2,-3.525694013e-1,-9.589958191e-1,3.442731500e-1,1.078193937e0
7.722179167e-2,-4.057340920e-1,-9.910176992e-1,3.482050300e-1,1.126047502e0
8.725479167e-2,-4.537332952e-1,-1.118080378e0,3.266489804e-1,1.250070874e0
9.728779166e-2,-4.560401440e-1,-1.095751643e0,4.556303918e-1,1.271315590e0
1.073207917e-1,-5.243910551e-1,-1.101485729e0,5.529273152e-1,1.339397404e0
1.173537917e-1,-6.890905499e-1,-1.131025076e0,3.999039531e-1,1.383469074e0
1.273867917e-1,-9.770703316e-1,-8.938578367e-1,2.817034125e-1,1.353885179e0
1.374207917e-1,-1.355779052e0,-5.912519097e-1,1.758310497e-1,1.489507374e0
1.474537917e-1,-1.752569556e0,-3.109771907e-1,1.090225726e-1,1.783281465e0
1.574867917e-1,-1.767752528e0,-8.435869962e-2,2.142728269e-1,1.782688485e0
1.675197917e-1,-1.447263956e0,-9.734043479e-2,3.514429331e-1,1.492501341e0
1.775527917e-1,-1.052412033e0,-1.270994097e-1,4.549435079e-1,1.153559250e0
1.875857917e-1,-6.607097983e-1,-1.396065056e-1,4.503833652e-1,8.117096708e-1
1.976187917e-1,-3.152988255e-1,-2.915760577e-1,2.887750268e-1,5.175142151e-1
2.076517917e-1,-6.108971313e-2,-4.879903197e-1,4.312318936e-2,4.936862512e-1
2.176847917e-1,1.251656413e-1,-5.840241909e-1,-1.386857629e-1,6.131756960e-1
2.277177917e-1,2.857708633e-1,-5.850298405e-1,-1.622298360e-1,6.710018034e-1
2.377507917e-1,4.472769201e-1,-3.883775175e-1,-3.580451012e-2,5.934439335e-1
2.477837917e-1,5.456239581e-1,-6.711838394e-2,1.073918864e-1,5.601280196e-1
2.578167917e-1,5.370685458e-1,1.801052541e-1,2.299814522e-1,6.113689506e-1
2.678507917e-1,4.032477736e-1,3.468632698e-1,2.947456539e-1,6.081101014e-1
2.778837917e-1,1.521188766e-1,3.644039035e-1,3.180701733e-1,5.070493000e-1
2.879167917e-1,-1.868610382e-1,2.283329517e-1,3.007949591e-1,4.213437929e-1
2.979497917e-1,-5.300047994e-1,7.980873436e-2,2.769919038e-1,6.033233264e-1
3.079827917e-1,-8.028479218e-1,-8.376304060e-2,2.580948174e-1,8.474632543e-1
3.180157917e-1,-9.456058741e-1,-2.955253720e-1,2.344132215e-1,1.018064474e0
3.280487917e-1,-9.299635291e-1,-5.723057985e-1,2.232683301e-1,1.114546921e0
3.380817917e-1,-8.069849014e-1,-8.846535683e-1,2.299920022e-1,1.219316566e0
3.481147917e-1,-6.270608902e-1,-8.021969199e-1,2.027767301e-1,1.038192497e0
3.581477917e-1,-4.323747456e-1,-4.067326486e-1,1.896824986e-1,6.231844176e-1
3.681807917e-1,-3.382375240e-1,1.022484750e-1,2.522916794e-1,4.341779183e-1
3.782137917e-1,-3.958390355e-1,2.173910439e-1,3.303936720e-1,5.595599936e-1
3.882467917e-1,-5.458610654e-1,1.315587163e-1,3.457747102e-1,6.594180379e-1
3.982807917e-1,-6.608787179e-1,2.677136064e-1,2.146654129e-1,7.446559570e-1
4.083137917e-1,-5.145904422e-1,5.783725977e-1,-4.506647214e-2,7.754670669e-1
4.183467917e-1,-9.260752052e-2,4.478446543e-1,-2.353666425e-1,5.143330085e-1
4.283797917e-1,5.055813193e-1,-1.146051362e-1,-3.323540688e-1,6.157970727e-1
4.384127917e-1,8.855310082e-1,-4.224905372e-1,-4.141735733e-1,1.064989751e0
4.484457917e-1,1.068721175e0,-6.151466966e-1,-5.061061382e-1,1.332934294e0
4.584787917e-1,1.107275248e0,-5.569249392e-1,-5.884377360e-1,1.372036017e0
4.685117917e-1,8.263481259e-1,-9.484059364e-2,-4.609674513e-1,9.509663268e-1
4.785447917e-1,6.179536581e-1,2.874042690e-1,-2.726936936e-1,7.340502625e-1
4.885777917e-1,4.901730716e-1,6.746038198e-1,-3.913235292e-2,8.348001527e-1
