"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651543895945566e9,"2022-05-03 12:11:35.946 UTC+10:00"
"PAUSE",8.350497458333848e0,1.651543904295888e9,"2022-05-03 12:11:44.296 UTC+10:00"
