"event","experiment time","system time","system time text"
"START",0.000000000000000e0,1.651545456544245e9,"2022-05-03 12:37:36.544 UTC+10:00"
"PAUSE",1.111157054166688e1,1.651545467655581e9,"2022-05-03 12:37:47.656 UTC+10:00"
